Wall time,Step,Value
1748099683.8585396,49,0.15625
1748099697.3712761,99,0.140625
1748099711.2418182,149,0.15625
1748099724.7976167,199,0.234375
1748099738.5948055,249,0.53125
1748099761.2603366,299,0.640625
1748099774.7131462,349,0.671875
1748099788.4202905,399,0.765625
1748099802.1025314,449,0.734375
1748099815.7677808,499,0.796875
1748099838.6168082,549,0.8125
1748099852.1113064,599,0.8125
1748099865.7924535,649,0.859375
1748099879.5302758,699,0.78125
1748099893.3309023,749,0.9375
1748099915.6100712,799,0.828125
1748099928.743644,849,0.796875
1748099941.8993835,899,0.84375
1748099955.1528406,949,0.859375
1748099968.4586215,999,0.921875
1748099989.6190264,1049,0.9375
1748100002.5526617,1099,0.90625
1748100015.4983788,1149,0.9375
1748100028.8493996,1199,0.890625
1748100042.0919166,1249,0.953125
1748100055.33155,1299,0.890625
1748100076.6107454,1349,0.890625
1748100089.524816,1399,0.90625
1748100102.7242315,1449,0.9375
1748100115.907239,1499,0.859375
1748100129.3435977,1549,0.875
1748100150.609226,1599,0.9375
1748100163.5101337,1649,0.921875
1748100176.7247984,1699,0.90625
1748100189.900216,1749,0.90625
1748100203.110232,1799,0.859375
1748100224.305223,1849,0.9375
1748100237.1524725,1899,0.9375
1748100250.3981755,1949,0.890625
1748100263.545364,1999,0.984375
1748100276.7962596,2049,0.953125
1748100298.1527007,2099,0.96875
1748100311.1617846,2149,0.96875
1748100324.2323577,2199,0.921875
1748100337.5505586,2249,0.859375
1748100350.7024715,2299,0.90625
1748100372.0433276,2349,0.953125
1748100384.9904673,2399,0.921875
1748100397.9756224,2449,0.90625
1748100411.2612364,2499,0.96875
1748100424.1972332,2549,0.921875
1748100437.386675,2599,0.96875
1748100458.4217608,2649,0.9375
1748100471.2168424,2699,0.984375
1748100484.3616042,2749,0.984375
1748100497.5677106,2799,0.9375
1748100510.6753278,2849,0.984375
1748100531.819094,2899,0.953125
1748100544.7201626,2949,0.984375
1748100557.8477635,2999,0.9375
1748100570.892708,3049,0.984375
1748100584.2575357,3099,0.953125
1748100605.420582,3149,0.890625
1748100618.3238633,3199,0.984375
1748100631.3695848,3249,0.96875
1748100644.6272151,3299,0.890625
1748100657.8795633,3349,0.921875
1748100679.2000563,3399,0.984375
1748100692.116558,3449,0.953125
1748100704.9848115,3499,0.953125
1748100718.349467,3549,0.921875
1748100731.3453722,3599,0.9375
1748100744.5426426,3649,1.0
1748100765.595403,3699,0.9375
1748100778.664077,3749,0.9375
1748100791.9943285,3799,0.953125
1748100805.0306044,3849,0.921875
1748100818.1956475,3899,0.984375
1748100839.4008255,3949,0.96875
1748100852.3039808,3999,0.96875
1748100865.6711624,4049,0.96875
1748100878.7850454,4099,0.890625
1748100891.8928132,4149,0.96875
1748100912.6797767,4199,0.90625
1748100925.6254725,4249,0.953125
1748100938.8042772,4299,0.953125
1748100951.896052,4349,0.984375
1748100965.1993318,4399,0.984375
1748100987.1817362,4449,0.921875
1748100999.977962,4499,0.9375
1748101012.8203478,4549,0.96875
1748101026.0396225,4599,0.9375
1748101039.6938448,4649,1.0
1748101060.922738,4699,0.96875
1748101073.7068872,4749,0.953125
1748101086.4825857,4799,0.96875
1748101099.66002,4849,0.96875
1748101112.5375311,4899,1.0
1748101125.7973518,4949,0.953125
1748101146.7920272,4999,0.96875
1748101159.84876,5049,0.96875
1748101173.1179757,5099,0.953125
1748101186.2526023,5149,0.984375
1748101199.4134645,5199,0.96875
