Wall time,Step,Value
1750974089.0500114,49,0.046875
1750974104.2712362,99,0.015625
1750974119.7424328,149,0.1875
1750974134.2326877,199,0.25
1750974148.490532,249,0.40625
1750974173.1527805,299,0.5625
1750974186.7215354,349,0.609375
1750974200.2576778,399,0.65625
1750974213.7122698,449,0.8125
1750974227.368368,499,0.734375
1750974241.3377695,549,0.6875
1750974264.1952975,599,0.765625
1750974277.899964,649,0.75
1750974291.4355597,699,0.75
1750974304.8956525,749,0.796875
1750974318.5520322,799,0.71875
1750974332.5516617,849,0.828125
1750974354.9397154,899,0.875
1750974368.4582393,949,0.8125
1750974382.0460584,999,0.796875
1750974395.567474,1049,0.84375
1750974409.24148,1099,0.796875
1750974423.3302684,1149,0.84375
1750974445.6600568,1199,0.90625
1750974459.1881487,1249,0.84375
1750974472.7816594,1299,0.875
1750974486.3321328,1349,0.859375
1750974500.0966532,1399,0.828125
1750974522.7698224,1449,0.921875
1750974536.3561149,1499,0.90625
1750974549.9924228,1549,0.890625
1750974563.4677374,1599,0.96875
1750974577.1312518,1649,0.90625
1750974591.0756812,1699,0.90625
1750974613.3108826,1749,0.9375
1750974626.9760714,1799,0.875
1750974640.5297296,1849,0.921875
1750974653.8496604,1899,0.90625
1750974667.5590756,1949,0.890625
1750974681.5772693,1999,0.921875
1750974703.7825208,2049,0.96875
1750974717.4526434,2099,0.90625
1750974731.0309253,2149,0.875
1750974744.5393717,2199,0.984375
1750974758.1695106,2249,0.921875
1750974772.2454913,2299,0.859375
1750974794.5512106,2349,0.859375
1750974808.1085396,2399,0.921875
1750974821.6376283,2449,0.921875
1750974835.1150687,2499,0.9375
1750974848.87656,2549,0.953125
1750974862.8842158,2599,0.984375
1750974885.1366274,2649,0.9375
1750974898.7131414,2699,0.921875
1750974912.227427,2749,0.921875
1750974925.8711033,2799,0.9375
1750974939.4225807,2849,0.953125
1750974962.1536307,2899,0.921875
1750974975.7767923,2949,0.90625
1750974989.4075427,2999,0.953125
1750975002.8642673,3049,0.953125
1750975016.536525,3099,0.90625
1750975030.5934,3149,0.9375
1750975052.8068378,3199,0.953125
1750975066.5051348,3249,0.9375
1750975080.03305,3299,0.96875
1750975093.5366447,3349,0.953125
1750975107.1519887,3399,0.875
1750975121.1564076,3449,0.890625
1750975143.508407,3499,0.890625
1750975157.078536,3549,0.921875
1750975170.6310546,3599,0.953125
1750975184.1401877,3649,0.953125
1750975197.872302,3699,0.953125
1750975211.8949742,3749,0.9375
1750975234.1915104,3799,0.921875
1750975247.6996424,3849,0.984375
1750975261.2264006,3899,0.953125
1750975274.7226362,3949,0.9375
1750975288.3644059,3999,0.9375
1750975311.0281153,4049,0.96875
1750975324.7156196,4099,0.953125
1750975338.3487804,4149,0.96875
1750975351.9600687,4199,0.953125
1750975365.7111197,4249,0.890625
1750975379.7108903,4299,0.90625
1750975402.0534232,4349,0.984375
1750975415.8698986,4399,1.0
1750975429.4313352,4449,0.96875
1750975442.7575936,4499,0.96875
1750975456.3194737,4549,0.953125
1750975470.1387134,4599,0.96875
1750975492.294147,4649,0.96875
1750975505.8408458,4699,0.9375
1750975519.2190943,4749,0.96875
1750975532.577623,4799,0.953125
1750975546.009411,4849,0.984375
1750975559.8603072,4899,1.0
1750975581.735102,4949,0.9375
1750975595.2171657,4999,1.0
1750975608.578466,5049,0.9375
1750975621.9038098,5099,0.96875
1750975635.333291,5149,0.96875
1750975649.1669984,5199,1.0
1750975671.5065308,5249,0.9375
1750975685.1454437,5299,0.953125
1750975698.6930325,5349,0.9375
1750975712.3170247,5399,0.96875
1750975725.9022455,5449,0.96875
1750975748.6077366,5499,0.96875
1750975762.262627,5549,0.96875
1750975775.827722,5599,0.96875
1750975789.2691524,5649,0.921875
1750975803.010684,5699,0.921875
1750975817.0139415,5749,0.9375
1750975839.2719607,5799,0.953125
1750975853.02472,5849,0.96875
1750975866.5706167,5899,0.984375
1750975879.9866097,5949,0.9375
1750975893.6791668,5999,0.984375
1750975907.6628056,6049,0.984375
1750975929.9555316,6099,0.984375
1750975943.5174267,6149,0.984375
1750975957.0380118,6199,0.984375
1750975970.509158,6249,0.9375
1750975984.1716392,6299,0.890625
1750975998.1427305,6349,0.9375
1750976020.583405,6399,0.984375
1750976034.1963618,6449,0.96875
1750976047.7192764,6499,0.9375
1750976061.2781537,6549,0.984375
1750976074.927434,6599,1.0
1750976097.522346,6649,1.0
1750976111.101886,6699,0.9375
1750976124.7913613,6749,0.96875
1750976138.2974262,6799,0.96875
1750976151.9365447,6849,0.9375
1750976165.9103816,6899,0.9375
1750976188.138936,6949,0.96875
1750976201.8425608,6999,1.0
1750976215.3326123,7049,0.953125
1750976228.780834,7099,0.984375
1750976242.4125628,7149,0.875
1750976256.4192023,7199,0.96875
1750976278.6208684,7249,0.953125
1750976292.3013728,7299,0.984375
1750976305.8553393,7349,0.9375
1750976319.2913728,7399,0.953125
1750976332.8723142,7449,1.0
1750976346.9148397,7499,0.984375
1750976369.2720854,7549,0.984375
1750976382.8454597,7599,0.9375
1750976396.3738034,7649,1.0
1750976409.8340125,7699,0.96875
1750976423.4542348,7749,0.90625
1750976437.375879,7799,0.984375
1750976459.508975,7849,0.953125
1750976473.0240889,7899,0.984375
1750976486.5403242,7949,0.96875
1750976500.066242,7999,0.953125
1750976513.770224,8049,0.953125
1750976536.4970763,8099,0.953125
1750976550.046187,8149,0.953125
1750976563.638728,8199,1.0
1750976577.1004627,8249,0.984375
