Wall time,Step,Value
1750978484.5481727,49,0.0625
1750978498.0963964,99,0.09375
1750978511.6923592,149,0.109375
1750978525.3475177,199,0.296875
1750978538.689227,249,0.4375
1750978562.0387123,299,0.5625
1750978575.3321953,349,0.65625
1750978588.6738675,399,0.625
1750978602.133084,449,0.578125
1750978615.402122,499,0.625
1750978628.8157578,549,0.71875
1750978651.7644637,599,0.703125
1750978665.2147846,649,0.78125
1750978678.59789,699,0.65625
1750978692.0584688,749,0.859375
1750978705.417601,799,0.765625
1750978718.771526,849,0.84375
1750978741.7265534,899,0.734375
1750978755.128773,949,0.84375
1750978768.5532713,999,0.890625
1750978782.1175687,1049,0.859375
1750978795.434624,1099,0.875
1750978808.7664328,1149,0.828125
1750978831.1695457,1199,0.828125
1750978844.5108342,1249,0.828125
1750978857.9507797,1299,0.828125
1750978871.3124838,1349,0.78125
1750978884.6563668,1399,0.890625
1750978898.2537258,1449,0.9375
1750978920.9142106,1499,0.90625
1750978934.3239367,1549,0.953125
1750978947.766544,1599,0.921875
1750978961.2331746,1649,0.921875
1750978974.5183437,1699,0.859375
1750978988.1774924,1749,0.921875
1750979010.1882236,1799,0.890625
1750979023.511787,1849,0.96875
1750979037.007189,1899,0.953125
1750979050.573294,1949,0.859375
1750979063.8817234,1999,0.953125
1750979077.5657766,2049,0.96875
1750979099.5975776,2099,0.921875
1750979113.0189397,2149,0.875
1750979126.3421943,2199,0.953125
1750979139.8619602,2249,0.9375
1750979153.2299976,2299,0.890625
1750979166.9499736,2349,0.921875
1750979189.1237442,2399,0.875
1750979202.523493,2449,0.953125
1750979215.8604772,2499,0.8125
1750979229.2409964,2549,0.921875
1750979242.533923,2599,0.90625
1750979265.0123076,2649,0.9375
1750979278.3532052,2699,0.890625
1750979291.8626382,2749,0.953125
1750979305.3765085,2799,0.96875
1750979318.8168974,2849,0.953125
1750979332.139749,2899,0.953125
1750979354.5646567,2949,0.953125
1750979367.9590178,2999,0.9375
1750979381.439756,3049,0.921875
1750979394.8445685,3099,0.953125
1750979408.2284036,3149,0.921875
1750979421.4616635,3199,0.984375
1750979443.9589345,3249,0.9375
1750979457.378956,3299,0.9375
1750979470.838279,3349,0.9375
1750979484.2863595,3399,0.921875
1750979497.689273,3449,0.921875
1750979511.0685802,3499,0.921875
1750979533.3490314,3549,0.890625
1750979546.7145557,3599,0.9375
