Wall time,Step,Value
1749681199.4488144,49,0.09375
1749681213.0626628,99,0.140625
1749681226.4187274,149,0.359375
1749681239.9039721,199,0.421875
1749681261.4520097,249,0.5625
1749681274.770535,299,0.65625
1749681288.062972,349,0.609375
1749681301.1984572,399,0.765625
1749681314.4957128,449,0.828125
1749681335.5385797,499,0.8125
1749681348.9722633,549,0.828125
1749681362.3440185,599,0.78125
1749681375.4991658,649,0.796875
1749681388.6394238,699,0.859375
1749681409.6421041,749,0.90625
1749681423.022249,799,0.875
1749681436.1137598,849,0.859375
1749681449.2837968,899,0.84375
1749681462.3543563,949,0.890625
1749681482.7357643,999,0.890625
1749681496.1694438,1049,0.84375
1749681509.3094156,1099,0.9375
1749681522.6631615,1149,0.828125
1749681536.0135608,1199,0.953125
1749681556.2722952,1249,0.828125
1749681569.556049,1299,0.84375
1749681582.3720562,1349,0.890625
1749681595.4007616,1399,0.921875
1749681608.8169165,1449,0.96875
1749681629.160947,1499,0.8125
1749681642.5062363,1549,0.875
1749681655.6266277,1599,0.96875
1749681668.6868541,1649,0.921875
1749681682.0132558,1699,0.875
1749681702.3394651,1749,0.9375
1749681715.8759475,1799,0.96875
1749681728.8900473,1849,0.953125
1749681741.8970075,1899,0.953125
1749681755.235681,1949,1.0
1749681775.5258574,1999,0.984375
1749681788.9396703,2049,0.984375
1749681801.981818,2099,0.96875
1749681815.2888966,2149,0.9375
1749681828.5738087,2199,0.96875
1749681848.7606573,2249,0.96875
1749681862.196259,2299,0.9375
1749681875.1804142,2349,0.984375
1749681888.2174911,2399,0.953125
1749681901.473395,2449,0.921875
1749681921.8290052,2499,0.953125
1749681935.312415,2549,0.984375
1749681948.273465,2599,0.953125
1749681961.414646,2649,0.984375
1749681974.6922982,2699,0.96875
1749681994.9727716,2749,0.96875
1749682008.4237378,2799,0.96875
1749682021.583194,2849,0.953125
1749682034.7099063,2899,0.921875
1749682048.0080304,2949,0.96875
1749682068.3110087,2999,0.890625
1749682081.7895834,3049,0.953125
1749682094.725668,3099,0.96875
1749682107.676791,3149,0.953125
1749682120.9007378,3199,0.953125
1749682140.701907,3249,0.96875
1749682154.0937822,3299,0.953125
1749682167.080575,3349,0.984375
1749682180.2969582,3399,0.921875
1749682193.666479,3449,0.984375
1749682214.0633695,3499,0.9375
1749682227.4694567,3549,0.9375
1749682240.4205024,3599,0.96875
1749682253.613002,3649,0.96875
1749682266.8968966,3699,0.953125
1749682287.2958272,3749,0.984375
1749682300.674718,3799,0.96875
1749682313.7414274,3849,0.953125
1749682326.6845546,3899,0.984375
1749682339.6732988,3949,0.96875
1749682359.709536,3999,0.921875
1749682372.7923768,4049,0.984375
1749682385.9020126,4099,1.0
1749682398.9964547,4149,0.984375
1749682419.128906,4199,0.984375
1749682432.3678398,4249,0.984375
1749682445.6404867,4299,1.0
1749682458.6955166,4349,1.0
1749682471.7682893,4399,0.953125
1749682491.8971202,4449,0.96875
1749682505.2235618,4499,0.96875
1749682518.313243,4549,0.984375
1749682531.3885522,4599,0.96875
1749682544.436692,4649,0.984375
1749682564.780888,4699,0.96875
1749682578.151498,4749,0.953125
1749682591.1915066,4799,1.0
1749682604.1491258,4849,0.96875
1749682617.2460177,4899,1.0
