Wall time,Step,Value
1754640286.1282094,49,0.03125
1754640307.7420344,99,0.015625
1754640328.7580059,149,0.109375
1754640351.3137665,199,0.15625
1754640375.4736793,249,0.09375
1754640419.4281452,299,0.328125
1754640442.2270083,349,0.265625
1754640464.6571767,399,0.390625
1754640485.3831432,449,0.421875
1754640507.4725757,499,0.53125
1754640529.778097,549,0.5
1754640566.5113447,599,0.4375
1754640588.408103,649,0.5625
1754640609.2973635,699,0.65625
1754640630.4542344,749,0.578125
1754640651.8497057,799,0.609375
1754640673.768202,849,0.671875
1754640710.1677332,899,0.734375
1754640731.4415207,949,0.71875
1754640752.5403576,999,0.71875
1754640773.66101,1049,0.71875
1754640794.7118278,1099,0.6875
1754640816.677006,1149,0.6875
1754640852.5076146,1199,0.75
1754640873.25798,1249,0.6875
1754640893.9351492,1299,0.8125
1754640914.8488195,1349,0.75
1754640936.0227582,1399,0.765625
1754640974.4942775,1449,0.828125
1754640995.3441575,1499,0.75
1754641016.5533588,1549,0.75
1754641037.0037792,1599,0.859375
1754641058.3902962,1649,0.84375
1754641080.33762,1699,0.859375
1754641115.8744144,1749,0.828125
1754641137.069045,1799,0.828125
1754641157.9071984,1849,0.921875
1754641178.4926307,1899,0.796875
1754641199.9864361,1949,0.875
1754641221.8568664,1999,0.890625
1754641256.9760804,2049,0.796875
1754641278.1481378,2099,0.84375
1754641298.8092325,2149,0.78125
1754641319.5592332,2199,0.859375
1754641340.8988996,2249,0.828125
1754641362.8352482,2299,0.796875
1754641398.1215851,2349,0.75
1754641418.9236176,2399,0.671875
1754641439.5787756,2449,0.953125
1754641460.7070649,2499,0.84375
1754641481.7653267,2549,0.875
1754641503.3899474,2599,0.84375
1754641538.9746814,2649,0.8125
1754641560.0058813,2699,0.828125
1754641580.517552,2749,0.78125
1754641601.8100553,2799,0.765625
1754641622.6090503,2849,0.828125
1754641658.9582522,2899,0.8125
1754641679.7952042,2949,0.875
1754641700.75401,2999,0.859375
1754641721.3158588,3049,0.859375
1754641742.4956121,3099,0.953125
1754641764.0217323,3149,0.921875
1754641799.5315392,3199,0.890625
1754641820.572715,3249,0.953125
1754641841.2777548,3299,0.875
1754641862.0598001,3349,0.890625
1754641883.120539,3399,0.875
1754641905.1546738,3449,0.90625
1754641940.8420367,3499,0.90625
1754641962.088132,3549,0.890625
1754641983.1595626,3599,0.90625
1754642003.8850224,3649,0.953125
1754642025.3501632,3699,0.90625
1754642048.2674773,3749,0.875
1754642083.9929304,3799,0.90625
1754642104.8722055,3849,0.90625
1754642125.464657,3899,0.921875
1754642146.6801744,3949,0.921875
1754642167.5325525,3999,0.9375
1754642203.7712271,4049,0.9375
1754642224.5296538,4099,0.8125
1754642245.8428915,4149,0.921875
1754642266.4141839,4199,0.9375
1754642287.7117202,4249,0.90625
1754642309.6058304,4299,0.90625
1754642345.2856052,4349,0.890625
1754642366.4766746,4399,0.90625
1754642387.2835357,4449,0.921875
1754642407.8476038,4499,0.890625
1754642429.2223945,4549,0.875
1754642451.2472448,4599,0.8125
1754642486.5802727,4649,0.890625
1754642507.619213,4699,0.9375
1754642528.4664302,4749,0.921875
1754642549.1587024,4799,0.953125
1754642570.3534582,4849,0.875
1754642592.4297318,4899,0.96875
1754642627.6046028,4949,0.859375
1754642648.2290277,4999,0.9375
1754642668.9478197,5049,0.875
1754642689.9709814,5099,0.953125
1754642710.9464543,5149,0.90625
1754642733.028968,5199,0.890625
1754642768.2174008,5249,0.9375
1754642789.3735013,5299,0.90625
1754642809.9969354,5349,0.953125
1754642831.392336,5399,0.875
1754642852.3053527,5449,0.953125
1754642888.838771,5499,0.90625
1754642909.8420272,5549,0.90625
1754642930.5850086,5599,0.921875
1754642951.209191,5649,0.984375
1754642972.5788903,5699,0.984375
1754642994.2518215,5749,0.921875
1754643029.6561759,5799,0.9375
1754643050.9309704,5849,0.921875
1754643071.7748597,5899,0.859375
1754643092.2387152,5949,0.90625
1754643113.6266756,5999,0.9375
1754643135.5875504,6049,0.921875
1754643170.8068235,6099,0.984375
1754643191.9534338,6149,0.9375
1754643212.6880596,6199,0.921875
1754643233.463522,6249,0.984375
1754643254.6714633,6299,0.921875
1754643276.694026,6349,0.921875
1754643312.1505728,6399,0.921875
1754643332.9883864,6449,0.921875
1754643353.6563134,6499,0.953125
1754643374.6773076,6549,0.953125
1754643395.404743,6599,0.96875
1754643431.234581,6649,0.890625
1754643452.1643105,6699,0.9375
1754643473.2586458,6749,0.953125
1754643493.7856655,6799,0.921875
1754643515.1124501,6849,0.953125
1754643536.8542209,6899,0.890625
1754643572.2692835,6949,0.953125
1754643593.483901,6999,0.921875
1754643614.3577607,7049,0.9375
1754643634.7970045,7099,0.9375
1754643655.982625,7149,0.96875
1754643677.636535,7199,0.984375
1754643712.90921,7249,0.921875
1754643734.025429,7299,0.953125
1754643754.7202508,7349,0.953125
1754643775.624953,7399,0.9375
1754643797.1876683,7449,0.9375
1754643819.2596076,7499,0.953125
1754643854.412725,7549,0.9375
1754643875.701583,7599,0.984375
1754643896.3674839,7649,0.953125
1754643917.707016,7699,0.875
1754643938.6875203,7749,0.9375
1754643960.818613,7799,0.984375
1754643996.4405503,7849,0.9375
1754644017.872532,7899,0.953125
1754644038.5940437,7949,0.984375
1754644059.6026475,7999,0.9375
1754644080.4845953,8049,0.953125
1754644116.8756504,8099,0.9375
1754644138.118025,8149,0.90625
1754644159.5307612,8199,0.921875
1754644180.6004264,8249,0.953125
1754644201.9876387,8299,0.96875
1754644223.4721887,8349,0.9375
1754644258.8613064,8399,0.953125
1754644280.0220697,8449,0.921875
1754644300.872092,8499,0.96875
1754644321.438535,8549,0.96875
1754644342.8431537,8599,0.984375
1754644364.782776,8649,0.96875
1754644400.2252452,8699,0.96875
1754644421.1268141,8749,0.921875
1754644441.933882,8799,0.953125
1754644462.7779436,8849,0.984375
1754644483.9195833,8899,0.953125
1754644505.9822853,8949,0.984375
1754644541.3485308,8999,0.96875
1754644562.2272089,9049,0.9375
1754644582.835548,9099,0.953125
1754644603.9514427,9149,0.9375
1754644624.9683416,9199,0.921875
1754644661.3008695,9249,0.875
1754644682.2957294,9299,0.96875
1754644703.4133806,9349,0.921875
1754644724.0622928,9399,0.921875
1754644745.46004,9449,0.921875
1754644767.2915535,9499,0.921875
1754644802.738706,9549,0.984375
1754644823.8324232,9599,0.890625
1754644844.9972756,9649,0.90625
1754644865.3113754,9699,0.9375
1754644886.8425198,9749,0.984375
1754644908.6621146,9799,0.921875
1754644944.086411,9849,0.96875
1754644965.3260813,9899,0.9375
1754644986.0890837,9949,0.96875
1754645006.760948,9999,0.953125
1754645027.6365116,10049,0.90625
1754645049.5530455,10099,0.96875
1754645084.7292333,10149,0.953125
1754645105.6583812,10199,0.921875
1754645126.1772292,10249,0.90625
1754645147.2377274,10299,0.953125
1754645168.4094906,10349,0.921875
1754645190.4056416,10399,0.96875
1754645225.5614014,10449,0.9375
1754645246.631729,10499,0.921875
1754645267.1418247,10549,0.921875
1754645288.1843925,10599,0.96875
1754645309.0749166,10649,0.953125
1754645345.1698494,10699,0.953125
1754645366.314193,10749,0.9375
1754645387.2072036,10799,0.96875
1754645408.1575284,10849,0.96875
