Wall time,Step,Value
1754647162.4593298,49,0.078125
1754647190.6967447,99,0.046875
1754647218.5437264,149,0.078125
1754647246.7613525,199,0.171875
1754647274.691709,249,0.28125
1754647323.4058385,299,0.375
1754647350.8678448,349,0.53125
1754647378.5902865,399,0.421875
1754647406.2147894,449,0.484375
1754647433.8232458,499,0.4375
1754647461.4250984,549,0.546875
1754647509.749371,599,0.625
1754647537.6793368,649,0.59375
1754647565.0532227,699,0.5
1754647592.8868382,749,0.71875
1754647620.2527862,799,0.71875
1754647647.488235,849,0.65625
1754647695.4022582,899,0.71875
1754647722.7583897,949,0.6875
1754647750.1531444,999,0.8125
1754647777.787851,1049,0.71875
1754647805.2759802,1099,0.78125
1754647832.5996292,1149,0.765625
1754647879.886102,1199,0.75
1754647907.3024743,1249,0.765625
1754647935.0244122,1299,0.765625
1754647962.9188786,1349,0.6875
1754647990.699581,1399,0.796875
1754648018.797952,1449,0.84375
1754648066.5792663,1499,0.8125
1754648094.646908,1549,0.765625
1754648122.8993676,1599,0.796875
1754648150.8921282,1649,0.90625
1754648178.706757,1699,0.75
1754648206.954042,1749,0.71875
1754648253.3212953,1799,0.84375
1754648280.8197901,1849,0.765625
1754648308.5923884,1899,0.875
1754648336.2624383,1949,0.84375
1754648363.8129349,1999,0.828125
1754648392.0410717,2049,0.90625
1754648438.6515489,2099,0.765625
1754648466.2563918,2149,0.875
1754648493.9810784,2199,0.8125
1754648521.5932913,2249,0.875
1754648548.8243976,2299,0.859375
1754648576.9880905,2349,0.890625
1754648623.3642025,2399,0.78125
1754648650.6882012,2449,0.875
1754648678.208836,2499,0.8125
1754648705.985572,2549,0.765625
1754648733.5501091,2599,0.859375
1754648780.6936557,2649,0.953125
1754648807.9978333,2699,0.828125
1754648835.8798027,2749,0.84375
1754648863.7741299,2799,0.890625
1754648891.5007517,2849,0.828125
1754648919.4378068,2899,0.96875
1754648966.3930266,2949,0.9375
1754648993.9918551,2999,0.8125
1754649021.5776827,3049,0.859375
1754649049.2759852,3099,0.890625
1754649076.8990304,3149,0.8125
1754649104.3574169,3199,0.890625
1754649151.586353,3249,0.859375
1754649179.2848942,3299,0.796875
1754649206.6843011,3349,0.875
1754649234.6606863,3399,0.875
1754649262.5847936,3449,0.90625
1754649290.7036512,3499,0.90625
1754649337.9943197,3549,0.921875
1754649365.6536214,3599,0.8125
1754649393.402306,3649,0.875
1754649421.1591368,3699,0.828125
1754649448.9296598,3749,0.90625
1754649476.791989,3799,0.8125
1754649523.3965507,3849,0.90625
1754649550.806908,3899,0.828125
1754649578.6283853,3949,0.859375
1754649606.7020025,3999,0.84375
1754649634.3059285,4049,0.8125
1754649662.3478003,4099,0.9375
1754649709.0647998,4149,0.921875
1754649736.394517,4199,0.859375
1754649764.0627668,4249,0.875
1754649791.91212,4299,0.84375
1754649819.3913684,4349,0.921875
1754649847.2296762,4399,0.9375
1754649893.5942533,4449,0.875
1754649921.0137331,4499,0.875
1754649948.1440744,4549,0.984375
1754649975.6817005,4599,0.859375
