Wall time,Step,Value
1750245155.8052204,49,0.3203125
1750245174.7188575,99,0.4296875
1750245187.7466953,149,0.44140625
1750245206.827305,199,0.53125
1750245225.5496485,249,0.51171875
1750245238.8459039,299,0.53515625
1750245258.1894183,349,0.546875
1750245271.1494982,399,0.5625
1750245290.0882928,449,0.6171875
1750245309.2738228,499,0.6015625
1750245322.5337515,549,0.609375
1750245341.5865963,599,0.62109375
1750245354.6444557,649,0.66015625
1750245374.255667,699,0.65234375
1750245393.501474,749,0.6640625
1750245406.7526214,799,0.67578125
1750245425.8144355,849,0.703125
1750245438.67864,899,0.6484375
1750245456.8718882,949,0.68359375
1750245475.8269784,999,0.70703125
1750245488.7831373,1049,0.6875
1750245506.606206,1099,0.734375
1750245524.4485953,1149,0.71875
1750245537.2524116,1199,0.6640625
1750245556.3337185,1249,0.6875
1750245569.8024938,1299,0.74609375
1750245588.2542503,1349,0.75390625
1750245606.6912491,1399,0.74609375
1750245619.5236726,1449,0.75
1750245637.2821307,1499,0.75
1750245650.1688502,1549,0.77734375
1750245669.1898062,1599,0.76953125
1750245687.2667,1649,0.78515625
1750245700.1756995,1699,0.7578125
1750245719.1067796,1749,0.7734375
1750245732.459614,1799,0.734375
1750245750.2639813,1849,0.73828125
1750245768.238604,1899,0.83203125
1750245781.1781464,1949,0.77734375
1750245799.1666675,1999,0.75
1750245811.9937782,2049,0.671875
1750245829.978259,2099,0.76953125
1750245847.8404615,2149,0.80078125
1750245860.7118616,2199,0.75
1750245878.521722,2249,0.80859375
1750245896.5433347,2299,0.8125
1750245910.1148458,2349,0.828125
1750245927.3766654,2399,0.84765625
1750245939.7943804,2449,0.8359375
1750245957.0900445,2499,0.87109375
1750245975.4119694,2549,0.828125
1750245987.7884197,2599,0.8359375
1750246006.0823486,2649,0.90234375
1750246018.6038811,2699,0.890625
1750246035.7990458,2749,0.87890625
1750246052.9843698,2799,0.8984375
1750246065.3984406,2849,0.86328125
1750246083.6136205,2899,0.86328125
1750246096.1931589,2949,0.91796875
1750246114.3558261,2999,0.8828125
1750246132.7121897,3049,0.90234375
1750246145.191451,3099,0.8984375
1750246162.5156713,3149,0.91796875
1750246179.788575,3199,0.93359375
1750246192.2643447,3249,0.8984375
1750246209.6897798,3299,0.90625
1750246222.0383055,3349,0.87109375
1750246239.1771233,3399,0.91796875
1750246256.4666667,3449,0.8984375
1750246268.9697146,3499,0.921875
1750246286.2464266,3549,0.9296875
1750246298.5739212,3599,0.921875
1750246315.7684968,3649,0.89453125
1750246333.2015212,3699,0.8984375
1750246345.8348296,3749,0.9296875
1750246363.0911274,3799,0.93359375
1750246375.633993,3849,0.9375
1750246393.1266985,3899,0.94921875
1750246410.52907,3949,0.9453125
1750246423.1297946,3999,0.94921875
1750246440.5735822,4049,0.94140625
1750246453.097903,4099,0.890625
1750246470.7655766,4149,0.94140625
1750246488.0428705,4199,0.96875
1750246500.4852242,4249,0.90234375
1750246517.78316,4299,0.9296875
1750246535.183423,4349,0.95703125
1750246547.6793506,4399,0.9296875
1750246564.9700186,4449,0.95703125
1750246577.594062,4499,0.9140625
1750246595.014705,4549,0.91015625
1750246612.3775017,4599,0.96875
1750246624.8842623,4649,0.9296875
1750246642.0777392,4699,0.953125
1750246654.5122347,4749,0.92578125
1750246671.799743,4799,0.93359375
1750246688.7778893,4849,0.9296875
1750246701.114362,4899,0.9453125
1750246718.2015376,4949,0.94140625
1750246730.6165931,4999,0.953125
1750246747.7956882,5049,0.91015625
1750246765.0267627,5099,0.9375
1750246777.5514686,5149,0.91796875
1750246794.9528997,5199,0.94140625
1750246812.323254,5249,0.94140625
1750246824.9836328,5299,0.96875
1750246842.3017175,5349,0.9375
1750246854.5882962,5399,0.953125
1750246871.7231195,5449,0.9453125
1750246888.920242,5499,0.9375
1750246901.4895797,5549,0.96484375
1750246918.5360718,5599,0.94921875
1750246930.9359713,5649,0.92578125
1750246948.106726,5699,0.93359375
1750246965.0737844,5749,0.9375
1750246977.4543626,5799,0.93359375
1750246994.5078847,5849,0.9453125
1750247007.0281165,5899,0.92578125
1750247024.2564237,5949,0.96875
1750247041.4377234,5999,0.9609375
1750247053.8309932,6049,0.91796875
1750247071.1056294,6099,0.9375
1750247083.4204185,6149,0.9375
1750247101.0003123,6199,0.9375
1750247118.485755,6249,0.92578125
1750247131.0531096,6299,0.9453125
1750247148.4021964,6349,0.94921875
1750247165.7343245,6399,0.95703125
1750247178.3007295,6449,0.9375
1750247195.4385145,6499,0.94921875
1750247207.739139,6549,0.9453125
1750247224.952585,6599,0.9375
1750247242.3448207,6649,0.94140625
1750247254.878744,6699,0.9453125
1750247272.185989,6749,0.9609375
1750247284.7766402,6799,0.95703125
1750247302.0449317,6849,0.94921875
1750247319.2138407,6899,0.9453125
