Wall time,Step,Value
1755467500.5190377,49,0.0625
1755467523.1187828,99,0.015625
1755467545.142773,149,0.09375
1755467568.0910983,199,0.140625
1755467590.956034,249,0.109375
1755467630.4463484,299,0.359375
1755467651.071121,349,0.28125
1755467671.535991,399,0.46875
1755467691.700668,449,0.46875
1755467712.6416621,499,0.609375
1755467734.5698204,549,0.46875
1755467770.109437,599,0.515625
1755467790.8854015,649,0.59375
1755467811.3773983,699,0.640625
1755467832.4232392,749,0.65625
1755467853.600911,799,0.671875
1755467875.991879,849,0.6875
1755467911.3418999,899,0.703125
1755467931.7772355,949,0.734375
1755467952.3387356,999,0.703125
1755467972.8382146,1049,0.734375
1755467993.5534074,1099,0.6875
1755468015.3152206,1149,0.71875
1755468050.5595505,1199,0.75
1755468070.8257437,1249,0.75
1755468091.0857174,1299,0.78125
1755468111.626957,1349,0.796875
1755468132.2272131,1399,0.75
1755468168.658947,1449,0.8125
1755468189.0697029,1499,0.859375
1755468209.6987445,1549,0.765625
1755468229.7568967,1599,0.859375
1755468250.5653152,1649,0.765625
1755468271.712579,1699,0.84375
1755468306.359426,1749,0.765625
1755468327.2034833,1799,0.796875
1755468347.7640274,1849,0.859375
1755468368.0460703,1899,0.796875
1755468388.809678,1949,0.890625
1755468410.483652,1999,0.796875
1755468444.690475,2049,0.734375
1755468465.1211126,2099,0.828125
1755468485.1445053,2149,0.8125
1755468505.2941904,2199,0.890625
1755468526.1132994,2249,0.8125
1755468548.0362923,2299,0.8125
1755468582.273094,2349,0.765625
1755468602.6779172,2399,0.828125
1755468622.835502,2449,0.9375
1755468643.377691,2499,0.84375
1755468664.0658011,2549,0.90625
1755468685.7586458,2599,0.84375
1755468720.5213778,2649,0.84375
1755468741.0231307,2699,0.90625
1755468761.2725282,2749,0.875
1755468781.9928792,2799,0.859375
1755468802.2879808,2849,0.859375
1755468838.2701297,2899,0.828125
1755468858.8828723,2949,0.875
1755468879.3156195,2999,0.890625
1755468899.283639,3049,0.921875
1755468920.2869754,3099,0.828125
1755468942.0872931,3149,0.953125
1755468976.5000176,3199,0.828125
1755468997.2701879,3249,0.9375
1755469017.571556,3299,0.84375
1755469037.819901,3349,0.859375
1755469058.631316,3399,0.859375
1755469080.3330529,3449,0.859375
1755469114.7333899,3499,0.84375
1755469134.9718018,3549,0.859375
1755469155.2011578,3599,0.875
1755469175.4467752,3649,0.90625
1755469196.2032077,3699,0.921875
1755469217.5308425,3749,0.8125
1755469251.475832,3799,0.921875
1755469271.5785313,3849,0.953125
1755469291.4306374,3899,0.84375
1755469311.9552617,3949,0.875
1755469332.4494996,3999,0.90625
1755469367.7612636,4049,0.90625
1755469388.0535374,4099,0.921875
1755469408.4083118,4149,0.9375
1755469428.1990397,4199,0.96875
1755469448.9009326,4249,0.890625
1755469470.2605844,4299,0.953125
1755469504.907087,4349,0.828125
1755469525.6261778,4399,0.90625
1755469545.7588174,4449,0.984375
1755469565.6308033,4499,0.921875
1755469586.401619,4549,0.875
1755469607.5029645,4599,0.9375
1755469641.7157707,4649,0.921875
1755469662.2463589,4699,0.96875
1755469682.3412874,4749,0.875
1755469702.6385126,4799,0.9375
1755469723.0323257,4849,0.84375
1755469744.5211205,4899,0.953125
1755469778.7134943,4949,0.90625
1755469798.9848945,4999,0.96875
1755469819.198851,5049,0.96875
1755469839.5437741,5099,0.890625
1755469860.0832374,5149,0.875
1755469881.4821432,5199,0.921875
1755469915.7856894,5249,0.90625
1755469936.2889774,5299,0.953125
1755469956.4240232,5349,0.9375
1755469977.168693,5399,0.875
1755469997.6877291,5449,0.90625
1755470033.0792236,5499,0.96875
1755470053.3296263,5549,0.828125
1755470073.6635246,5599,0.921875
1755470093.6169238,5649,0.921875
1755470114.601236,5699,0.953125
1755470135.8914173,5749,0.9375
1755470170.3536289,5799,0.90625
1755470190.9806254,5849,0.9375
1755470211.1785424,5899,0.9375
1755470231.2426667,5949,0.90625
1755470252.0019164,5999,0.890625
1755470273.7513144,6049,0.921875
1755470308.0628734,6099,0.953125
1755470328.477288,6149,0.96875
1755470348.605758,6199,1.0
1755470368.750771,6249,0.90625
1755470389.2978394,6299,0.921875
1755470411.0613332,6349,0.984375
1755470445.583755,6399,0.953125
1755470465.8870285,6449,0.8125
1755470485.9539669,6499,0.90625
1755470506.5746367,6549,0.9375
1755470526.950829,6599,0.96875
1755470562.4469655,6649,0.921875
1755470582.9887476,6699,0.953125
1755470603.3409832,6749,0.953125
1755470623.1490788,6799,0.9375
1755470644.1480834,6849,0.953125
1755470665.9011734,6899,0.953125
1755470700.887033,6949,0.9375
1755470721.9618685,6999,0.96875
1755470742.3693166,7049,0.9375
1755470762.5716977,7099,0.921875
1755470783.5595534,7149,0.890625
1755470805.5399024,7199,0.921875
1755470839.9236422,7249,0.96875
1755470860.5348234,7299,0.953125
1755470880.7620578,7349,0.890625
1755470901.004676,7399,0.96875
1755470921.81767,7449,1.0
1755470943.8199291,7499,0.96875
1755470978.3463795,7549,0.9375
1755470998.8359673,7599,0.921875
1755471018.967779,7649,0.984375
1755471039.6097107,7699,0.984375
1755471060.5091536,7749,0.984375
1755471082.3083313,7799,0.9375
1755471116.6309822,7849,0.9375
1755471137.347394,7899,0.984375
1755471157.6082325,7949,0.96875
1755471178.2491536,7999,0.953125
1755471199.011153,8049,0.984375
1755471234.8326175,8099,0.96875
1755471255.3541596,8149,0.9375
1755471275.7268634,8199,0.90625
1755471295.6447957,8249,0.984375
1755471316.670722,8299,0.953125
1755471338.40586,8349,0.984375
1755471373.3939567,8399,0.984375
1755471394.0379353,8449,0.984375
1755471414.3172383,8499,0.90625
1755471434.3311403,8549,0.953125
1755471454.9529173,8599,0.96875
1755471476.9036288,8649,0.9375
1755471511.4193423,8699,0.96875
1755471531.8505185,8749,0.984375
1755471552.0963874,8799,0.96875
1755471572.5114212,8849,0.96875
1755471593.3669598,8899,0.921875
1755471615.1841516,8949,0.96875
1755471649.749722,8999,0.984375
1755471670.1770883,9049,0.953125
1755471690.548479,9099,0.890625
1755471711.229779,9149,0.921875
1755471731.8153546,9199,0.96875
1755471767.0585022,9249,0.953125
1755471787.6131306,9299,0.9375
1755471808.3312511,9349,0.9375
1755471828.2483385,9399,0.9375
1755471849.3055158,9449,0.96875
1755471870.7440252,9499,0.953125
1755471905.1454463,9549,1.0
1755471925.779614,9599,0.984375
1755471946.4495063,9649,0.953125
1755471966.5496447,9699,0.96875
1755471987.4171638,9749,0.96875
1755472008.8444638,9799,0.9375
1755472043.1206882,9849,0.9375
1755472063.6889293,9899,0.96875
1755472084.016319,9949,0.953125
1755472104.369066,9999,0.9375
1755472125.069124,10049,0.921875
1755472146.7822773,10099,0.9375
1755472181.1396728,10149,0.953125
1755472201.4170363,10199,0.953125
1755472221.6495492,10249,0.984375
1755472242.1236181,10299,0.953125
1755472262.8708875,10349,0.96875
1755472284.9245975,10399,0.96875
1755472319.4674675,10449,0.96875
1755472340.1218204,10499,0.96875
1755472360.2387705,10549,0.921875
1755472381.0046337,10599,1.0
1755472401.3781319,10649,1.0
1755472436.707293,10699,0.921875
1755472457.3099153,10749,1.0
1755472477.814313,10799,0.96875
1755472497.8807032,10849,0.984375
1755472518.8008616,10899,0.9375
1755472540.4164531,10949,0.953125
1755472575.143311,10999,0.953125
1755472595.7911797,11049,0.984375
1755472616.1292636,11099,0.875
1755472636.0279953,11149,0.96875
1755472656.8997662,11199,0.96875
1755472678.4357853,11249,0.96875
1755472712.715712,11299,0.96875
1755472733.2923827,11349,0.953125
1755472753.3484006,11399,0.921875
1755472773.5748827,11449,0.96875
1755472794.1604736,11499,0.9375
1755472816.111294,11549,0.96875
1755472850.732523,11599,0.953125
1755472870.9570677,11649,0.984375
1755472891.2021432,11699,0.921875
1755472911.637361,11749,0.9375
1755472932.3652961,11799,0.9375
1755472968.2612495,11849,0.984375
1755472989.1284647,11899,0.96875
1755473009.6974726,11949,0.953125
1755473030.0575814,11999,0.984375
1755473050.9205427,12049,0.921875
1755473071.776633,12099,0.96875
1755473109.3576999,12149,0.96875
1755473129.8015928,12199,0.953125
1755473150.4661007,12249,0.96875
1755473170.8525515,12299,0.96875
1755473191.7153888,12349,0.953125
1755473213.7052598,12399,0.984375
1755473248.4278934,12449,0.96875
1755473268.8985977,12499,0.9375
1755473289.513914,12549,0.96875
1755473310.1816742,12599,0.953125
1755473331.0898871,12649,0.9375
1755473352.5346484,12699,0.953125
1755473386.9419286,12749,0.953125
1755473407.8503234,12799,0.9375
1755473428.6708558,12849,0.953125
1755473449.396385,12899,0.90625
1755473470.3473964,12949,0.890625
1755473492.249188,12999,0.953125
1755473526.918036,13049,1.0
1755473547.4483225,13099,0.96875
1755473567.574915,13149,0.9375
1755473588.3929942,13199,0.90625
1755473609.067631,13249,1.0
1755473644.418066,13299,0.9375
1755473664.712761,13349,0.96875
1755473685.3581102,13399,0.921875
1755473705.3250988,13449,0.984375
1755473726.7673497,13499,0.953125
1755473748.4667888,13549,0.984375
1755473783.5371528,13599,0.90625
1755473804.1398225,13649,0.953125
1755473824.6831527,13699,0.90625
1755473844.5005941,13749,0.9375
1755473865.3793623,13799,0.984375
1755473886.5006955,13849,0.953125
1755473920.681908,13899,0.921875
1755473941.7588844,13949,0.96875
1755473962.1323915,13999,0.921875
1755473982.596299,14049,1.0
1755474003.5564516,14099,0.96875
1755474025.060354,14149,0.96875
1755474059.9094896,14199,0.921875
1755474080.6335196,14249,0.984375
1755474100.8225448,14299,0.96875
1755474121.1257007,14349,0.984375
1755474141.6794982,14399,0.953125
1755474162.8617783,14449,0.9729729890823364
