Wall time,Step,Value
1755505501.7392669,49,0.03125
1755505522.7470367,99,0.046875
1755505545.1152413,149,0.15625
1755505566.5873096,199,0.359375
1755505588.4184458,249,0.34375
1755505623.9543893,299,0.421875
1755505643.954261,349,0.453125
1755505664.0751836,399,0.5
1755505684.1916962,449,0.46875
1755505704.3567662,499,0.640625
1755505724.2884169,549,0.78125
1755505758.184473,599,0.75
1755505777.7988808,649,0.65625
1755505797.5730066,699,0.65625
1755505817.515983,749,0.6875
1755505837.8277004,799,0.703125
1755505872.007936,849,0.734375
1755505892.3278399,899,0.703125
1755505912.600526,949,0.734375
1755505932.4578862,999,0.875
1755505952.6800816,1049,0.734375
1755505973.1426213,1099,0.8125
1755506006.3064349,1149,0.765625
1755506026.1541886,1199,0.8125
1755506045.8457506,1249,0.84375
1755506065.96938,1299,0.75
1755506085.771747,1349,0.875
1755506118.2350466,1399,0.859375
1755506137.6070712,1449,0.875
1755506157.5787551,1499,0.875
1755506177.2337625,1549,0.734375
1755506197.1112976,1599,0.859375
1755506217.0554698,1649,0.828125
1755506249.9758615,1699,0.921875
1755506269.7915044,1749,0.921875
1755506289.8006973,1799,0.9375
1755506310.0136163,1849,0.890625
1755506329.914047,1899,0.875
1755506362.9052649,1949,0.890625
1755506382.751329,1999,0.875
1755506402.6782436,2049,0.890625
1755506422.6994016,2099,0.859375
1755506442.8771682,2149,0.875
1755506462.9347446,2199,0.828125
1755506495.75805,2249,0.875
1755506515.8006253,2299,0.8125
1755506535.8884292,2349,0.890625
1755506555.7985954,2399,0.890625
1755506575.9879496,2449,0.953125
1755506608.9282634,2499,0.84375
1755506628.7413516,2549,0.921875
1755506648.803926,2599,0.875
1755506669.1421154,2649,0.953125
1755506689.2258134,2699,0.984375
1755506709.4996336,2749,0.921875
1755506742.1492646,2799,0.9375
1755506762.141263,2849,0.84375
1755506781.807403,2899,0.90625
1755506802.0550115,2949,0.953125
1755506821.9535286,2999,0.9375
1755506854.9562776,3049,0.96875
1755506875.0731766,3099,0.9375
1755506895.3526466,3149,0.96875
1755506915.1519926,3199,0.90625
1755506935.3563294,3249,0.921875
1755506955.300082,3299,0.921875
1755506988.189045,3349,0.828125
1755507008.1425674,3399,0.859375
1755507028.1129065,3449,0.890625
1755507048.0614648,3499,0.9375
1755507067.9931338,3549,0.96875
1755507100.8094468,3599,0.953125
1755507120.7442067,3649,0.890625
1755507140.663288,3699,0.953125
1755507160.8116095,3749,0.9375
1755507180.9762518,3799,0.9375
1755507201.5791578,3849,0.984375
1755507234.8434768,3899,0.921875
1755507255.011137,3949,0.890625
1755507275.6945431,3999,0.96875
1755507296.0109398,4049,0.90625
1755507316.1997585,4099,0.90625
1755507349.6323104,4149,0.890625
1755507369.5669394,4199,0.96875
1755507389.440951,4249,0.96875
1755507409.5042937,4299,0.9375
1755507429.476332,4349,0.921875
1755507449.6313941,4399,0.953125
1755507482.6083462,4449,0.984375
1755507502.4056585,4499,0.953125
1755507522.1545632,4549,0.953125
1755507542.3720367,4599,0.953125
1755507562.2969096,4649,0.9375
1755507595.4348693,4699,0.90625
1755507615.36718,4749,0.953125
1755507635.4537282,4799,1.0
1755507655.2690666,4849,0.9375
1755507675.5425436,4899,0.96875
1755507695.7866044,4949,0.953125
1755507728.825603,4999,0.921875
1755507748.5940838,5049,0.890625
1755507768.7180235,5099,0.9375
1755507788.898988,5149,0.96875
1755507808.7931433,5199,0.984375
1755507842.0149107,5249,0.953125
1755507862.3256638,5299,0.96875
1755507882.058855,5349,1.0
1755507901.9936829,5399,0.953125
1755507922.1383932,5449,0.9375
1755507942.0211267,5499,0.96875
1755507975.1615665,5549,0.96875
1755507995.5080652,5599,0.90625
1755508015.5003617,5649,0.953125
1755508035.65795,5699,0.953125
1755508055.584747,5749,0.96875
1755508088.1326673,5799,0.921875
1755508108.1186526,5849,0.984375
1755508128.2199755,5899,0.953125
1755508148.0745099,5949,1.0
1755508168.1412,5999,0.984375
1755508188.2575378,6049,0.984375
1755508221.405778,6099,0.984375
1755508241.5420752,6149,0.921875
1755508261.4602427,6199,0.953125
1755508281.801992,6249,0.96875
1755508301.855647,6299,0.9375
1755508335.0985646,6349,0.96875
1755508354.9501586,6399,0.96875
1755508374.92609,6449,0.984375
1755508394.7192223,6499,0.953125
1755508415.275911,6549,0.9375
1755508435.3348858,6599,0.9375
1755508468.597756,6649,0.921875
1755508488.2866197,6699,0.984375
1755508508.4816692,6749,0.984375
1755508528.7036946,6799,0.953125
1755508548.94686,6849,0.890625
1755508569.3443367,6899,0.9729729890823364
1755508602.9523582,6949,1.0
1755508622.7657795,6999,0.921875
1755508643.0696452,7049,0.953125
1755508664.1445055,7099,0.96875
1755508684.2314773,7149,0.96875
1755508717.2175055,7199,0.9375
1755508737.7067778,7249,0.953125
1755508758.927804,7299,0.890625
1755508778.9006839,7349,0.953125
1755508799.143661,7399,0.96875
1755508819.269099,7449,0.9375
1755508853.3113258,7499,0.96875
1755508873.7709453,7549,0.984375
1755508894.2415843,7599,0.984375
1755508914.0477605,7649,0.921875
1755508934.7036698,7699,1.0
1755508967.8794355,7749,0.96875
1755508988.4518468,7799,0.921875
1755509008.6821668,7849,0.953125
1755509029.0732634,7899,0.953125
1755509048.7378814,7949,0.890625
1755509068.8600574,7999,0.96875
1755509102.3437781,8049,0.984375
1755509122.742327,8099,0.921875
1755509143.0072575,8149,0.984375
1755509163.609831,8199,0.984375
1755509183.759492,8249,0.96875
1755509216.945508,8299,0.953125
1755509236.5280037,8349,0.953125
1755509256.729212,8399,0.921875
1755509276.3806124,8449,1.0
1755509296.7386773,8499,0.953125
1755509316.9608054,8549,0.9375
1755509349.9411092,8599,0.9375
1755509369.6176932,8649,0.984375
1755509389.7828407,8699,1.0
1755509409.7974975,8749,0.9375
1755509430.2071471,8799,1.0
1755509463.122301,8849,0.96875
1755509483.1249468,8899,0.953125
1755509502.8468943,8949,0.921875
1755509522.8207924,8999,0.921875
1755509543.057212,9049,0.984375
1755509562.9578688,9099,0.953125
1755509595.707172,9149,0.953125
1755509615.6993382,9199,0.96875
1755509635.1178243,9249,0.890625
1755509655.376753,9299,0.9375
1755509675.7260404,9349,0.953125
1755509708.962738,9399,1.0
1755509728.6865423,9449,0.921875
1755509749.1481755,9499,0.953125
1755509769.015522,9549,0.953125
1755509789.55929,9599,0.984375
1755509809.8608425,9649,0.96875
1755509842.5798573,9699,1.0
1755509862.2475007,9749,0.953125
1755509882.5207913,9799,0.984375
1755509902.60736,9849,0.9375
1755509922.9503272,9899,0.953125
1755509955.5411959,9949,0.9375
1755509975.9684782,9999,0.953125
1755509995.691087,10049,0.984375
1755510015.7334843,10099,0.984375
1755510036.4016514,10149,0.984375
1755510056.280753,10199,0.953125
1755510089.294319,10249,0.984375
1755510109.6956098,10299,1.0
1755510129.1775475,10349,0.953125
1755510149.7515655,10399,0.984375
1755510170.045487,10449,0.953125
1755510203.1540418,10499,0.96875
1755510222.5758526,10549,1.0
1755510242.9473007,10599,0.984375
1755510262.5252745,10649,0.90625
1755510282.9895825,10699,0.953125
1755510303.624066,10749,0.921875
1755510336.6153018,10799,0.9375
1755510356.2829435,10849,0.953125
1755510376.4857643,10899,0.9375
1755510396.958556,10949,0.9375
1755510416.8411632,10999,0.96875
1755510449.5939016,11049,1.0
1755510469.5729575,11099,0.96875
1755510489.366427,11149,0.953125
1755510509.5760865,11199,0.96875
1755510529.8640347,11249,0.96875
1755510549.7112362,11299,0.96875
1755510582.8246703,11349,0.953125
1755510602.9949315,11399,1.0
1755510622.809765,11449,0.953125
1755510643.1958687,11499,0.9375
1755510663.391573,11549,0.984375
1755510696.5088277,11599,0.9375
1755510716.28015,11649,0.953125
1755510736.753328,11699,0.921875
1755510757.1737595,11749,0.96875
1755510777.075472,11799,0.984375
1755510797.4260345,11849,0.96875
1755510830.566641,11899,1.0
1755510850.1410556,11949,0.875
1755510870.1595523,11999,0.96875
1755510890.5724566,12049,0.953125
1755510910.3216753,12099,0.953125
1755510943.4469671,12149,0.984375
1755510963.4556866,12199,0.984375
1755510982.9846544,12249,0.953125
1755511003.1674604,12299,0.953125
1755511023.389492,12349,0.953125
1755511043.198292,12399,1.0
1755511075.8408318,12449,0.9375
1755511096.2406816,12499,0.953125
1755511115.886506,12549,0.953125
1755511136.204751,12599,0.953125
1755511156.3262248,12649,0.953125
1755511189.4907637,12699,0.90625
1755511209.0120256,12749,0.96875
1755511229.302218,12799,0.984375
1755511249.1909587,12849,0.96875
1755511268.795056,12899,0.96875
1755511289.0258944,12949,0.984375
1755511321.5653164,12999,0.984375
1755511340.7986412,13049,0.890625
1755511361.1910288,13099,0.953125
1755511381.5018225,13149,0.984375
1755511401.0016546,13199,0.96875
1755511433.879501,13249,0.96875
1755511454.4088178,13299,0.953125
1755511473.9366548,13349,0.984375
1755511494.5110724,13399,0.96875
1755511515.6455872,13449,0.96875
1755511535.1536434,13499,0.96875
1755511568.0931695,13549,0.9375
1755511588.334887,13599,0.921875
1755511608.1922674,13649,0.9375
1755511628.8078194,13699,0.96875
1755511649.3240376,13749,0.921875
1755511668.9598017,13799,0.9729729890823364
