Wall time,Step,Value
1755511726.5964694,49,0.0625
1755511754.739018,99,0.125
1755511783.7014139,149,0.15625
1755511811.9150946,199,0.421875
1755511839.6424494,249,0.296875
1755511886.614939,299,0.453125
1755511913.9721296,349,0.578125
1755511941.422574,399,0.5625
1755511968.8738432,449,0.75
1755511996.9443007,499,0.65625
1755512024.7009487,549,0.78125
1755512072.232926,599,0.703125
1755512099.0115407,649,0.734375
1755512126.9315982,699,0.625
1755512154.5117776,749,0.859375
1755512182.2402215,799,0.6875
1755512228.272552,849,0.671875
1755512255.648704,899,0.71875
1755512283.2076743,949,0.796875
1755512311.103953,999,0.796875
1755512339.0418847,1049,0.796875
1755512365.948208,1099,0.78125
1755512413.0043757,1149,0.765625
1755512440.2438526,1199,0.890625
1755512468.1694698,1249,0.75
1755512495.1309068,1299,0.90625
1755512522.959898,1349,0.75
1755512570.1516924,1399,0.765625
1755512597.7271469,1449,0.875
1755512624.3545425,1499,0.84375
1755512652.388392,1549,0.84375
1755512680.4876204,1599,0.859375
1755512707.9819129,1649,0.828125
1755512753.0287607,1699,0.875
1755512780.40501,1749,0.890625
1755512808.0710464,1799,0.8125
1755512835.843061,1849,0.921875
1755512863.708729,1899,0.78125
1755512908.3478372,1949,0.84375
1755512935.611604,1999,0.921875
1755512963.0621076,2049,0.828125
1755512990.1583693,2099,0.953125
1755513017.6651003,2149,0.84375
1755513045.3828888,2199,0.8125
1755513091.627341,2249,0.796875
1755513117.9528868,2299,0.921875
1755513145.9022853,2349,0.84375
1755513173.912772,2399,0.96875
1755513201.9997911,2449,0.890625
1755513246.8790128,2499,0.90625
1755513274.2982776,2549,0.921875
1755513301.9596956,2599,0.921875
1755513329.8729897,2649,0.90625
1755513357.6146512,2699,0.84375
1755513384.1853945,2749,0.875
1755513429.882216,2799,0.90625
1755513456.9104378,2849,0.921875
1755513484.005013,2899,0.859375
1755513511.6818764,2949,0.875
1755513539.2734778,2999,0.890625
1755513584.8631778,3049,0.859375
1755513611.5257516,3099,0.9375
1755513638.8614566,3149,0.875
1755513666.5458252,3199,0.90625
1755513694.084992,3249,0.90625
1755513721.535959,3299,0.890625
1755513766.5021486,3349,0.90625
1755513793.6526146,3399,0.9375
1755513821.2749748,3449,0.84375
1755513848.8011954,3499,0.953125
1755513875.773981,3549,0.921875
1755513921.3301113,3599,0.890625
1755513948.771537,3649,0.921875
1755513975.4105659,3699,0.953125
1755514002.877449,3749,0.96875
1755514030.7121243,3799,0.90625
1755514058.4688323,3849,0.9375
1755514103.551954,3899,0.84375
1755514130.83196,3949,0.96875
1755514158.5444124,3999,0.953125
1755514186.3321626,4049,0.953125
1755514214.0784214,4099,0.90625
1755514258.9187376,4149,0.953125
1755514286.1444268,4199,0.921875
1755514313.507084,4249,0.9375
1755514340.8297486,4299,0.921875
1755514369.2298338,4349,0.921875
1755514397.0428152,4399,0.890625
1755514442.956633,4449,0.953125
1755514469.463635,4499,0.96875
1755514497.314095,4549,0.9375
1755514525.2384343,4599,0.921875
1755514553.4261794,4649,0.90625
1755514598.8806062,4699,0.90625
1755514626.5165749,4749,0.921875
1755514654.372802,4799,0.9375
1755514682.2385585,4849,0.9375
1755514710.504622,4899,0.890625
1755514737.3648684,4949,0.953125
1755514783.2020988,4999,0.96875
1755514810.5403497,5049,0.953125
1755514838.0505362,5099,0.9375
1755514865.3684464,5149,0.921875
1755514893.2702446,5199,0.859375
1755514939.1246321,5249,0.9375
1755514965.88125,5299,0.9375
1755514993.5707045,5349,0.9375
1755515021.9321322,5399,0.90625
1755515049.9743407,5449,0.90625
1755515077.7324603,5499,0.890625
1755515122.9558542,5549,0.90625
1755515150.3620782,5599,0.921875
1755515178.0752769,5649,0.953125
1755515205.5938022,5699,0.96875
1755515232.3609455,5749,0.9375
1755515278.259904,5799,0.9375
1755515305.755026,5849,0.9375
1755515333.363632,5899,0.953125
1755515360.8037264,5949,0.921875
1755515388.938456,5999,0.96875
1755515416.6626883,6049,0.921875
1755515461.9958146,6099,0.921875
1755515489.2695205,6149,0.984375
1755515517.0958188,6199,0.921875
1755515544.8949702,6249,0.984375
