Wall time,Step,Value
1755520232.974417,49,0.109375
1755520264.705746,99,0.09375
1755520296.098759,149,0.234375
1755520327.3484247,199,0.234375
1755520378.5988493,249,0.296875
1755520410.5302033,299,0.46875
1755520442.075955,349,0.578125
1755520473.0366461,399,0.546875
1755520504.225008,449,0.6875
1755520553.5554302,499,0.703125
1755520584.9594505,549,0.65625
1755520615.9370084,599,0.65625
1755520647.090125,649,0.671875
1755520678.1847193,699,0.71875
1755520727.609847,749,0.90625
1755520758.8177733,799,0.6875
1755520789.411704,849,0.734375
1755520820.771945,899,0.71875
1755520851.9033363,949,0.84375
1755520901.909113,999,0.765625
1755520933.5107877,1049,0.6875
1755520964.1476257,1099,0.71875
1755520995.053668,1149,0.703125
1755521026.4272738,1199,0.75
1755521076.0670369,1249,0.859375
1755521107.3896024,1299,0.796875
1755521138.0131943,1349,0.875
1755521169.1716697,1399,0.765625
1755521199.1174235,1449,0.796875
1755521248.46481,1499,0.78125
1755521279.8711,1549,0.78125
1755521310.4282463,1599,0.8125
1755521341.488224,1649,0.8125
1755521373.0203326,1699,0.828125
1755521422.0285685,1749,0.796875
1755521453.660369,1799,0.84375
1755521484.4248013,1849,0.859375
1755521515.8360178,1899,0.8125
1755521547.5672626,1949,0.90625
1755521597.5475082,1999,0.78125
1755521629.5713835,2049,0.828125
1755521661.4349794,2099,0.8125
1755521692.9863997,2149,0.859375
1755521724.9412196,2199,0.859375
1755521774.7011755,2249,0.828125
1755521806.3154576,2299,0.84375
1755521837.0909767,2349,0.921875
1755521867.9348645,2399,0.75
1755521898.2013123,2449,0.8125
1755521947.474001,2499,0.84375
1755521979.140547,2549,0.9375
1755522010.1287992,2599,0.90625
1755522041.3431046,2649,0.828125
1755522072.6375978,2699,0.90625
1755522121.0585816,2749,0.890625
1755522152.6329684,2799,0.8125
1755522183.983466,2849,0.8125
1755522215.4498768,2899,0.875
1755522246.7927303,2949,0.890625
1755522295.1160696,2999,0.90625
1755522326.3979292,3049,0.890625
1755522357.044592,3099,0.921875
1755522387.7806804,3149,0.984375
1755522419.110809,3199,0.890625
1755522468.3990695,3249,0.890625
1755522498.6111183,3299,0.90625
1755522529.7308016,3349,0.890625
1755522561.1458921,3399,0.953125
1755522592.4926815,3449,0.859375
1755522642.0703955,3499,0.890625
1755522672.9394417,3549,0.828125
1755522703.783049,3599,0.890625
1755522734.9790955,3649,0.890625
1755522765.0240471,3699,0.875
1755522814.1717825,3749,0.890625
1755522845.2222292,3799,0.890625
1755522876.2675335,3849,0.9375
1755522907.3724973,3899,0.859375
1755522938.4379385,3949,0.859375
1755522987.6949255,3999,0.84375
1755523018.9584355,4049,0.890625
1755523050.8227396,4099,0.859375
1755523081.980642,4149,0.96875
1755523130.379365,4199,0.953125
1755523161.7183933,4249,0.875
1755523193.0482996,4299,0.921875
1755523224.2342927,4349,0.875
1755523255.2642362,4399,0.90625
1755523304.9416292,4449,0.859375
1755523336.4485307,4499,0.90625
1755523366.2040427,4549,0.875
1755523397.4063027,4599,0.8125
1755523428.6895492,4649,0.875
1755523478.9626713,4699,0.875
1755523510.8970456,4749,0.890625
1755523542.3003275,4799,0.890625
1755523573.7890906,4849,0.9375
1755523604.855584,4899,0.921875
1755523652.7389073,4949,0.828125
1755523684.3274696,4999,0.921875
1755523715.5817707,5049,0.890625
1755523746.9900858,5099,0.875
1755523778.5626929,5149,0.921875
1755523827.7763855,5199,0.921875
1755523859.3561428,5249,0.890625
1755523890.2490258,5299,0.890625
1755523921.847708,5349,0.921875
1755523953.4883296,5399,0.90625
1755524003.1348662,5449,0.921875
1755524033.6424465,5499,0.9375
1755524064.3866177,5549,0.953125
1755524095.247277,5599,0.9375
1755524126.580971,5649,0.890625
1755524175.698003,5699,0.90625
1755524207.2073226,5749,0.875
1755524238.153444,5799,0.921875
1755524267.9239166,5849,0.953125
1755524299.403725,5899,0.9375
1755524348.9445236,5949,0.953125
1755524380.4874911,5999,0.90625
1755524411.5046978,6049,0.90625
1755524442.4590082,6099,0.90625
1755524473.7895236,6149,0.9375
1755524522.7835066,6199,0.921875
1755524554.3169804,6249,0.96875
1755524585.5812027,6299,0.96875
1755524616.6268249,6349,0.984375
1755524647.7014587,6399,0.859375
1755524695.6520736,6449,0.953125
1755524726.6078813,6499,0.9375
1755524757.2888181,6549,0.953125
1755524788.4971104,6599,0.859375
1755524819.9425325,6649,0.9375
1755524868.354913,6699,0.84375
1755524899.2711422,6749,0.890625
1755524930.2004,6799,0.890625
1755524960.9728503,6849,0.921875
1755524992.3066597,6899,0.9375
1755525042.316503,6949,0.921875
1755525074.0001104,6999,0.90625
1755525105.1538022,7049,0.90625
1755525134.8873622,7099,0.953125
1755525166.0441957,7149,0.9375
1755525215.22873,7199,0.90625
1755525246.3806944,7249,0.875
1755525278.2707376,7299,0.890625
1755525310.8704004,7349,0.984375
1755525342.2980728,7399,0.96875
1755525390.619483,7449,0.9375
1755525422.0681663,7499,0.96875
1755525453.0967965,7549,0.875
1755525484.1251223,7599,0.859375
1755525515.1698244,7649,0.921875
1755525563.0328748,7699,0.953125
1755525594.2660296,7749,0.90625
1755525625.9944313,7799,0.96875
1755525657.8260295,7849,0.890625
1755525689.1437423,7899,0.90625
1755525737.8250906,7949,0.90625
1755525768.9725456,7999,0.890625
1755525800.0470488,8049,0.921875
1755525831.0640981,8099,0.9375
1755525862.1502934,8149,0.859375
1755525911.924473,8199,0.890625
1755525942.9542272,8249,0.90625
1755525973.6655965,8299,0.9375
1755526003.8602905,8349,0.9375
1755526053.2711482,8399,0.9375
1755526084.4728973,8449,0.953125
1755526115.5659435,8499,0.953125
1755526146.5412574,8549,0.921875
1755526178.1842296,8599,0.9375
1755526226.5340757,8649,0.890625
1755526257.9027545,8699,0.921875
1755526289.2070055,8749,0.921875
1755526320.2522552,8799,0.9375
