Wall time,Step,Value
1750247741.2349544,49,0.23828125
1750247759.0941222,99,0.40234375
1750247771.4992702,149,0.421875
1750247789.7354684,199,0.515625
1750247807.7913997,249,0.51953125
1750247820.2228312,299,0.4921875
1750247838.2922528,349,0.62890625
1750247856.3706625,399,0.55078125
1750247868.9341626,449,0.61328125
1750247887.1808913,499,0.6328125
1750247899.5563056,549,0.6484375
1750247917.6340368,599,0.625
1750247934.7290366,649,0.67578125
1750247947.2144501,699,0.625
1750247965.153908,749,0.6953125
1750247982.9312952,799,0.68359375
1750247995.5095987,849,0.64453125
1750248012.533218,899,0.71484375
1750248029.52478,949,0.6796875
1750248042.0258853,999,0.68359375
1750248059.8506482,1049,0.72265625
1750248072.2159662,1099,0.73828125
1750248089.1634223,1149,0.69140625
1750248107.0849082,1199,0.7421875
1750248119.4014184,1249,0.7109375
1750248137.416193,1299,0.76171875
1750248154.6075737,1349,0.76953125
1750248167.0875432,1399,0.72265625
1750248185.142049,1449,0.76953125
1750248197.664531,1499,0.80078125
1750248214.9733248,1549,0.78515625
1750248232.0637507,1599,0.76171875
1750248244.5233352,1649,0.75390625
1750248261.4850614,1699,0.7578125
1750248278.5182736,1749,0.76171875
1750248291.1365268,1799,0.78515625
1750248307.97556,1849,0.79296875
1750248324.6050591,1899,0.78515625
1750248336.8262436,1949,0.77734375
1750248353.5266569,1999,0.78125
1750248365.8144376,2049,0.8046875
1750248382.7994685,2099,0.7734375
1750248399.593739,2149,0.7578125
1750248411.9752254,2199,0.76171875
1750248430.1164489,2249,0.765625
1750248447.1621168,2299,0.7734375
1750248459.5395963,2349,0.80859375
1750248476.5291994,2399,0.81640625
1750248494.530649,2449,0.875
1750248507.0914173,2499,0.8671875
1750248525.1666815,2549,0.875
1750248537.7707665,2599,0.8828125
1750248554.760975,2649,0.83984375
1750248572.826117,2699,0.84765625
1750248585.2023342,2749,0.8984375
1750248602.0758717,2799,0.87890625
1750248619.151947,2849,0.8984375
1750248631.600623,2899,0.8984375
1750248649.5405319,2949,0.8984375
1750248661.6752038,2999,0.88671875
1750248678.4404657,3049,0.875
1750248695.1601312,3099,0.859375
1750248707.532276,3149,0.8984375
1750248724.3895752,3199,0.90234375
1750248741.3320053,3249,0.9140625
1750248754.0153844,3299,0.8671875
1750248771.0771086,3349,0.91796875
1750248788.0449092,3399,0.91015625
1750248800.473798,3449,0.88671875
1750248817.385924,3499,0.9375
1750248829.9170256,3549,0.91796875
1750248847.0393164,3599,0.8828125
1750248864.2986264,3649,0.9140625
1750248876.6789513,3699,0.92578125
1750248893.850208,3749,0.89453125
1750248910.9753203,3799,0.90234375
1750248923.471655,3849,0.94140625
1750248940.5225313,3899,0.953125
1750248952.7552216,3949,0.78125
1750248969.9344826,3999,0.93359375
1750248986.8865964,4049,0.9375
1750248999.2914395,4099,0.921875
1750249016.2705848,4149,0.90625
1750249033.2334533,4199,0.9296875
1750249045.636204,4249,0.953125
1750249062.4161108,4299,0.93359375
1750249079.1292949,4349,0.921875
1750249091.470331,4399,0.93359375
1750249108.4517472,4449,0.921875
1750249120.7674513,4499,0.9296875
1750249137.6260636,4549,0.921875
1750249154.5107682,4599,0.9375
1750249167.0080543,4649,0.953125
1750249183.955798,4699,0.94921875
1750249200.8875835,4749,0.94140625
1750249213.2802258,4799,0.9453125
1750249230.1135793,4849,0.94140625
1750249246.87889,4899,0.9140625
1750249259.303542,4949,0.94140625
1750249276.1735806,4999,0.94921875
1750249288.6349761,5049,0.91796875
1750249305.7048335,5099,0.953125
1750249322.7533739,5149,0.90625
1750249335.2922869,5199,0.9296875
1750249352.2664676,5249,0.9375
1750249369.1787105,5299,0.93359375
1750249381.5754018,5349,0.92578125
1750249398.6151893,5399,0.93359375
1750249411.15605,5449,0.96484375
1750249428.0987453,5499,0.96484375
1750249445.0535092,5549,0.93359375
1750249457.78664,5599,0.9296875
1750249474.9233034,5649,0.91015625
1750249492.0833738,5699,0.95703125
1750249504.572835,5749,0.9296875
1750249521.8168058,5799,0.95703125
1750249538.9301693,5849,0.95703125
1750249551.5595458,5899,0.953125
1750249568.5778923,5949,0.93359375
1750249581.03607,5999,0.9375
1750249598.1378849,6049,0.953125
1750249615.214959,6099,0.94140625
1750249627.7316232,6149,0.953125
1750249644.705256,6199,0.953125
1750249661.9277887,6249,0.91015625
1750249674.3519638,6299,0.9375
1750249691.147697,6349,0.92578125
1750249707.8174438,6399,0.921875
1750249720.123155,6449,0.9375
1750249737.1387556,6499,0.96484375
1750249749.4787226,6549,0.9765625
1750249766.3456702,6599,0.9296875
1750249783.0782912,6649,0.95703125
1750249795.8302083,6699,0.94921875
1750249813.0595338,6749,0.953125
1750249830.1907063,6799,0.93359375
1750249842.8169484,6849,0.95703125
1750249859.8456233,6899,0.9609375
1750249872.3712254,6949,0.953125
1750249889.415513,6999,0.94921875
1750249906.5372822,7049,0.94921875
1750249919.0139198,7099,0.94921875
1750249935.9035013,7149,0.96484375
1750249952.8685553,7199,0.93359375
1750249965.331967,7249,0.92578125
1750249982.550489,7299,0.953125
1750249999.5064392,7349,0.9375
1750250012.0538645,7399,0.92578125
1750250029.191941,7449,0.90625
1750250041.6204846,7499,0.95703125
1750250058.742002,7549,0.94140625
1750250075.594686,7599,0.92578125
1750250088.108847,7649,0.94921875
1750250105.2061071,7699,0.9453125
1750250122.3158956,7749,0.94140625
1750250134.593279,7799,0.94921875
1750250151.4646301,7849,0.94140625
1750250163.5882971,7899,0.96875
