Wall time,Step,Value
1755557628.0359008,49,0.1328125
1755557655.5613656,99,0.2265625
1755557673.9918032,149,0.2265625
1755557700.4042087,199,0.30078125
1755557728.3244622,249,0.26171875
1755557746.4987426,299,0.29296875
1755557773.380119,349,0.30078125
1755557790.6975954,399,0.296875
1755557817.7790425,449,0.3125
1755557844.6993215,499,0.3046875
1755557862.6038482,549,0.359375
1755557889.8505974,599,0.3671875
1755557907.7345927,649,0.35546875
1755557935.2793083,699,0.41015625
1755557960.2782161,749,0.39453125
1755557978.2080204,799,0.31640625
1755558005.234648,849,0.3984375
1755558023.064692,899,0.3671875
1755558049.9275322,949,0.41796875
1755558074.9844217,999,0.46875
1755558092.8656442,1049,0.4453125
1755558119.9002805,1099,0.4375
1755558146.9759393,1149,0.3984375
1755558164.729117,1199,0.49609375
1755558191.423275,1249,0.47265625
1755558209.2985911,1299,0.41796875
1755558234.4100387,1349,0.51953125
1755558261.194471,1399,0.42578125
1755558278.9630895,1449,0.44140625
1755558305.7833998,1499,0.4609375
1755558323.6959558,1549,0.48046875
1755558349.1184459,1599,0.43359375
1755558374.450996,1649,0.4921875
1755558392.2527902,1699,0.4765625
1755558417.1916022,1749,0.50390625
1755558434.9184227,1799,0.4609375
1755558460.4091008,1849,0.45703125
1755558486.934478,1899,0.578125
1755558504.9047241,1949,0.4921875
1755558530.3484032,1999,0.51171875
1755558547.7951765,2049,0.578125
1755558574.613697,2099,0.5703125
1755558600.0503385,2149,0.55078125
1755558617.7059174,2199,0.5390625
1755558644.5022814,2249,0.58203125
1755558669.6960385,2299,0.5859375
1755558687.2921958,2349,0.5625
1755558712.6769013,2399,0.609375
1755558730.3539362,2449,0.53125
1755558755.828379,2499,0.55078125
1755558782.890482,2549,0.6171875
1755558800.784362,2599,0.578125
1755558827.6786668,2649,0.6484375
1755558845.9589028,2699,0.640625
1755558871.4872744,2749,0.62890625
1755558898.6415582,2799,0.640625
1755558916.7237582,2849,0.61328125
1755558942.1423638,2899,0.61328125
1755558959.991387,2949,0.671875
1755558986.887044,2999,0.62890625
1755559012.3553092,3049,0.609375
1755559029.83108,3099,0.6015625
1755559055.1123686,3149,0.58203125
1755559081.490114,3199,0.59765625
1755559099.1047244,3249,0.65625
1755559124.2937543,3299,0.6015625
1755559142.0530603,3349,0.6328125
1755559167.7172368,3399,0.5859375
1755559193.3016493,3449,0.66796875
1755559210.9322908,3499,0.63671875
1755559236.1560361,3549,0.703125
1755559253.992264,3599,0.6328125
1755559279.1369915,3649,0.6640625
1755559304.4733462,3699,0.609375
1755559322.0350733,3749,0.66796875
1755559347.3424144,3799,0.62890625
1755559365.1410174,3849,0.66015625
1755559390.0131836,3899,0.59375
1755559415.0478153,3949,0.65234375
1755559432.415349,3999,0.6875
1755559457.723902,4049,0.66796875
1755559475.432326,4099,0.578125
1755559501.0357387,4149,0.6796875
1755559526.4581923,4199,0.6875
1755559544.6666305,4249,0.70703125
1755559570.2988696,4299,0.6484375
1755559595.8883746,4349,0.69921875
1755559613.6621568,4399,0.6484375
1755559639.2926183,4449,0.65234375
1755559657.4232545,4499,0.70703125
1755559683.0378604,4549,0.65625
1755559708.602504,4599,0.69140625
1755559727.821528,4649,0.66015625
1755559754.9349048,4699,0.69140625
1755559772.7561557,4749,0.6875
1755559798.67354,4799,0.7265625
