Wall time,Step,Value
1755561387.870942,49,0.15234375
1755561430.0004487,99,0.15625
1755561458.9900239,149,0.1328125
1755561500.7500968,199,0.21875
1755561543.4095216,249,0.2578125
1755561572.720306,299,0.203125
1755561615.2165763,349,0.30859375
1755561656.2574375,399,0.30078125
1755561685.462748,449,0.30859375
1755561727.785571,499,0.4140625
1755561756.7730267,549,0.3671875
1755561799.155852,599,0.36328125
1755561841.6328902,649,0.41796875
1755561871.09133,699,0.39453125
1755561912.4683554,749,0.359375
1755561954.5665452,799,0.40625
1755561983.8834352,849,0.40234375
1755562025.8938673,899,0.5078125
1755562068.1308937,949,0.47265625
1755562097.2213585,999,0.3984375
1755562140.1478102,1049,0.41796875
1755562169.3510346,1099,0.4140625
1755562211.031253,1149,0.44921875
1755562252.6878064,1199,0.46484375
1755562282.1708438,1249,0.4765625
1755562325.593239,1299,0.4765625
1755562368.5035117,1349,0.48828125
1755562398.388583,1399,0.5
1755562439.6850407,1449,0.51953125
1755562469.3849037,1499,0.45703125
1755562512.7990034,1549,0.5390625
1755562554.278969,1599,0.5
1755562583.8335366,1649,0.5546875
1755562625.2094536,1699,0.51953125
1755562668.573008,1749,0.5234375
1755562698.167186,1799,0.47265625
1755562739.541264,1849,0.53515625
1755562780.9476495,1899,0.51953125
1755562810.5482247,1949,0.58203125
1755562851.9884453,1999,0.53515625
1755562881.5560193,2049,0.578125
1755562925.7101443,2099,0.55078125
1755562973.531061,2149,0.55078125
1755563005.7076588,2199,0.60546875
1755563051.902733,2249,0.5390625
1755563098.73436,2299,0.53125
1755563130.6665542,2349,0.53125
1755563173.3146362,2399,0.5859375
1755563216.4864252,2449,0.63671875
1755563246.9438226,2499,0.609375
1755563290.7090445,2549,0.59375
1755563321.0510972,2599,0.5859375
1755563365.2272344,2649,0.62890625
1755563407.056742,2699,0.62109375
1755563437.3405032,2749,0.625
1755563481.107706,2799,0.60546875
1755563523.241803,2849,0.6640625
1755563553.3468955,2899,0.6640625
1755563597.371339,2949,0.66796875
1755563627.3710527,2999,0.671875
1755563669.171678,3049,0.671875
1755563711.9549017,3099,0.69140625
1755563742.3697975,3149,0.62890625
1755563786.4456418,3199,0.6796875
1755563828.4543152,3249,0.640625
1755563858.8709228,3299,0.63671875
1755563901.2833252,3349,0.6875
1755563943.4959705,3399,0.6015625
1755563973.7869713,3449,0.65625
1755564015.7593808,3499,0.70703125
1755564045.814111,3549,0.66796875
1755564088.3938575,3599,0.66015625
1755564130.7265527,3649,0.66796875
1755564161.0931044,3699,0.62890625
1755564203.1987288,3749,0.65625
1755564247.4669397,3799,0.71484375
1755564278.021966,3849,0.6171875
1755564320.4284477,3899,0.65625
1755564350.359802,3949,0.5
1755564392.8839457,3999,0.6875
1755564435.1320167,4049,0.6796875
1755564465.5867465,4099,0.6328125
1755564508.1357,4149,0.63671875
1755564550.7482455,4199,0.6796875
1755564581.3189445,4249,0.67578125
1755564623.2747219,4299,0.66015625
1755564665.1935515,4349,0.6484375
1755564695.0729582,4399,0.6953125
1755564737.2893276,4449,0.73046875
1755564767.579645,4499,0.66796875
1755564810.0935965,4549,0.6484375
1755564852.4051275,4599,0.65625
1755564882.610884,4649,0.69921875
1755564925.4848433,4699,0.66015625
1755564967.618122,4749,0.6640625
1755564997.5990584,4799,0.69921875
1755565039.5368261,4849,0.72265625
1755565081.5568743,4899,0.671875
1755565111.821517,4949,0.73828125
1755565153.9333408,4999,0.6953125
1755565184.0407119,5049,0.69921875
1755565225.333845,5099,0.71484375
1755565266.9482574,5149,0.6328125
1755565296.6669605,5199,0.73046875
1755565338.1017413,5249,0.71875
1755565379.5877488,5299,0.73828125
1755565409.200334,5349,0.69140625
1755565451.044055,5399,0.76953125
1755565480.9827032,5449,0.6875
1755565522.5344527,5499,0.703125
1755565564.1329496,5549,0.71875
1755565593.7858243,5599,0.68359375
1755565637.1262033,5649,0.7578125
1755565678.5527625,5699,0.6796875
1755565708.8511517,5749,0.74609375
1755565751.4486158,5799,0.74609375
1755565795.73288,5849,0.7109375
1755565826.0024753,5899,0.73046875
1755565869.8143988,5949,0.6796875
1755565900.3348439,5999,0.68359375
1755565942.364465,6049,0.75
1755565984.303166,6099,0.7109375
1755566014.3596487,6149,0.71875
1755566056.6101403,6199,0.73828125
1755566099.0644772,6249,0.7578125
1755566129.7107923,6299,0.6875
1755566172.0683596,6349,0.6796875
1755566214.2874467,6399,0.70703125
1755566244.9369724,6449,0.703125
1755566287.6191638,6499,0.73828125
1755566317.8563404,6549,0.75390625
1755566360.3433573,6599,0.7109375
1755566402.360551,6649,0.75390625
1755566432.7423325,6699,0.69921875
1755566475.4429293,6749,0.671875
1755566518.3092453,6799,0.74609375
1755566548.5189373,6849,0.734375
1755566591.1874306,6899,0.6640625
1755566621.2051005,6949,0.6875
1755566663.8363194,6999,0.703125
1755566706.2698195,7049,0.6875
1755566736.5985768,7099,0.703125
1755566779.5258744,7149,0.68359375
1755566821.834844,7199,0.71875
1755566852.314441,7249,0.703125
1755566894.6547182,7299,0.703125
1755566937.2980814,7349,0.74609375
1755566967.714551,7399,0.734375
1755567009.9033024,7449,0.68359375
1755567039.9319963,7499,0.73046875
1755567081.9073894,7549,0.71484375
1755567124.306204,7599,0.703125
1755567154.6019354,7649,0.69140625
1755567196.9162505,7699,0.6953125
1755567239.202555,7749,0.74609375
1755567269.4126983,7799,0.70703125
1755567311.0431457,7849,0.71875
1755567340.2927983,7899,0.65625
