Wall time,Step,Value
1756482211.7229578,49,0.171875
1756482225.6545622,99,0.265625
1756482242.5346148,149,0.296875
1756482256.3662028,199,0.296875
1756482272.6479478,249,0.28125
1756482286.4376986,299,0.40625
1756482300.3692825,349,0.328125
1756482316.605228,399,0.4375
1756482330.137213,449,0.328125
1756482357.377687,499,0.359375
1756482373.1905303,549,0.5
1756482386.9195733,599,0.4375
1756482400.564034,649,0.453125
1756482416.3585057,699,0.59375
1756482429.905128,749,0.453125
1756482445.6867712,799,0.421875
1756482459.350204,849,0.46875
1756482475.053463,899,0.5
1756482488.8163922,949,0.5
1756482515.8922973,999,0.53125
1756482529.473266,1049,0.578125
1756482545.1867008,1099,0.5625
1756482559.472717,1149,0.53125
1756482573.341835,1199,0.59375
1756482589.4662201,1249,0.625
1756482603.3042233,1299,0.625
1756482619.3658988,1349,0.5625
1756482632.9213717,1399,0.671875
1756482648.6776717,1449,0.5625
1756482673.6773195,1499,0.609375
1756482689.5068617,1549,0.59375
1756482703.047561,1599,0.625
1756482716.7483678,1649,0.6875
1756482733.5410905,1699,0.71875
1756482747.4914935,1749,0.578125
1756482761.3830252,1799,0.796875
1756482776.2602096,1849,0.625
1756482789.4816873,1899,0.671875
1756482805.8300636,1949,0.65625
1756482831.6332204,1999,0.734375
1756482845.2743292,2049,0.734375
1756482862.0273228,2099,0.5625
1756482875.5471895,2149,0.546875
1756482891.4613385,2199,0.6875
1756482905.0236294,2249,0.75
1756482920.941852,2299,0.6875
1756482934.3335378,2349,0.6875
1756482947.6854599,2399,0.671875
1756482964.42293,2449,0.765625
1756482992.335549,2499,0.65625
1756483006.0331721,2549,0.6875
1756483019.8631637,2599,0.71875
1756483036.118151,2649,0.6875
1756483049.341104,2699,0.765625
1756483065.6658204,2749,0.640625
1756483078.9353414,2799,0.65625
1756483092.4833786,2849,0.75
1756483108.6839693,2899,0.578125
1756483121.9890938,2949,0.828125
1756483149.386828,2999,0.765625
1756483162.731696,3049,0.78125
1756483179.088073,3099,0.671875
1756483192.2298875,3149,0.671875
1756483208.7862713,3199,0.796875
1756483221.9033585,3249,0.796875
1756483238.230982,3299,0.765625
1756483252.2038708,3349,0.859375
1756483265.6260192,3399,0.765625
1756483291.992913,3449,0.671875
1756483308.9358592,3499,0.78125
1756483323.1974258,3549,0.796875
1756483336.252043,3599,0.796875
1756483351.2602367,3649,0.796875
1756483364.342621,3699,0.765625
1756483381.6721234,3749,0.765625
1756483395.2683227,3799,0.796875
1756483410.5927246,3849,0.78125
1756483423.6651075,3899,0.859375
1756483451.5856745,3949,0.703125
1756483464.7321293,3999,0.734375
1756483480.8361738,4049,0.734375
1756483494.3757865,4099,0.828125
1756483507.4449117,4149,0.734375
1756483523.9909196,4199,0.65625
1756483537.066825,4249,0.78125
1756483553.436058,4299,0.875
1756483566.8246584,4349,0.8125
1756483579.9246209,4399,0.875
1756483607.5857708,4449,0.75
1756483623.9985452,4499,0.8125
1756483637.3786542,4549,0.796875
1756483650.5086434,4599,0.734375
1756483667.2826936,4649,0.875
1756483680.9070437,4699,0.78125
1756483697.3433723,4749,0.8125
1756483710.6143515,4799,0.796875
1756483726.0853014,4849,0.78125
1756483739.4030359,4899,0.765625
1756483767.328994,4949,0.796875
1756483780.5879412,4999,0.8125
1756483796.5762434,5049,0.8125
1756483810.111373,5099,0.90625
1756483823.3129501,5149,0.828125
1756483839.6937137,5199,0.84375
1756483852.8924832,5249,0.84375
1756483869.25365,5299,0.796875
1756483882.6131878,5349,0.8125
1756483895.812705,5399,0.828125
1756483923.3832576,5449,0.796875
1756483939.7205195,5499,0.875
1756483953.0379732,5549,0.796875
1756483966.2410636,5599,0.796875
1756483982.6965024,5649,0.8125
1756483995.9508386,5699,0.8125
1756484012.3555686,5749,0.90625
1756484025.6069543,5799,0.859375
1756484041.635421,5849,0.78125
1756484054.9165952,5899,0.890625
1756484082.5321066,5949,0.890625
1756484095.9318163,5999,0.890625
1756484112.0212467,6049,0.8125
1756484125.5150633,6099,0.859375
1756484139.0095437,6149,0.8125
1756484155.164747,6199,0.875
1756484168.6203747,6249,0.765625
1756484184.7771196,6299,0.90625
1756484198.212467,6349,0.84375
1756484225.580331,6399,0.90625
1756484238.8630292,6449,0.84375
1756484255.3064415,6499,0.828125
1756484268.7285557,6549,0.84375
1756484282.110522,6599,0.859375
1756484298.3563166,6649,0.859375
1756484311.640046,6699,0.890625
1756484327.9443293,6749,0.84375
1756484341.2125866,6799,0.84375
1756484357.4651449,6849,0.890625
1756484382.2549934,6899,0.75
