Wall time,Step,Value
1755942151.8345058,49,0.109375
1755942166.2325609,99,0.28125
1755942181.4074194,149,0.28125
1755942196.128518,199,0.28125
1755942210.9172614,249,0.3125
1755942224.8770795,299,0.40625
1755942238.9667764,349,0.34375
1755942253.690503,399,0.5
1755942267.6874785,449,0.484375
1755942293.4988935,499,0.421875
1755942308.3434567,549,0.421875
1755942322.2548292,599,0.515625
1755942336.4390898,649,0.578125
1755942351.201524,699,0.515625
1755942365.2271404,749,0.65625
1755942380.0193844,799,0.453125
1755942394.1410286,849,0.453125
1755942409.105375,899,0.578125
1755942423.0329268,949,0.578125
1755942449.755116,999,0.5
1755942464.203004,1049,0.546875
1755942479.3421981,1099,0.65625
1755942493.837604,1149,0.625
1755942508.9553556,1199,0.625
1755942523.140804,1249,0.453125
1755942537.2351582,1299,0.609375
1755942552.0340176,1349,0.609375
1755942566.2011905,1399,0.6875
1755942581.0873914,1449,0.640625
1755942607.3742363,1499,0.65625
1755942621.3693886,1549,0.703125
1755942635.5490737,1599,0.671875
1755942650.5473893,1649,0.640625
1755942664.6168854,1699,0.703125
1755942679.5355656,1749,0.640625
1755942693.583261,1799,0.6875
1755942708.5185292,1849,0.734375
1755942722.5350604,1899,0.71875
1755942737.4500296,1949,0.640625
1755942762.6520402,1999,0.671875
1755942777.9298697,2049,0.8125
1755942791.6959147,2099,0.8125
1755942806.7954454,2149,0.703125
1755942820.663385,2199,0.734375
1755942834.742858,2249,0.75
1755942849.5993001,2299,0.71875
1755942863.758701,2349,0.75
1755942878.9129865,2399,0.78125
1755942892.7877376,2449,0.75
1755942919.0433466,2499,0.734375
1755942933.1467335,2549,0.796875
1755942948.0732536,2599,0.765625
1755942962.1770246,2649,0.796875
1755942977.4375532,2699,0.78125
1755942991.3432877,2749,0.765625
1755943006.4547837,2799,0.75
1755943020.3098948,2849,0.828125
1755943035.4680362,2899,0.75
1755943049.336194,2949,0.734375
1755943075.9123056,2999,0.78125
1755943089.7491865,3049,0.8125
1755943104.8992898,3099,0.765625
1755943118.7575412,3149,0.734375
1755943132.8924403,3199,0.828125
1755943147.819003,3249,0.765625
1755943161.9332736,3299,0.765625
1755943177.0412333,3349,0.765625
1755943191.0433502,3399,0.765625
1755943217.6557465,3449,0.78125
1755943231.7680364,3499,0.859375
1755943246.6359236,3549,0.796875
1755943260.752706,3599,0.828125
1755943275.7820961,3649,0.84375
1755943289.81708,3699,0.828125
1755943305.0483098,3749,0.765625
1755943318.7998075,3799,0.828125
1755943334.0687313,3849,0.875
1755943347.7639182,3899,0.78125
1755943374.5300138,3949,0.890625
1755943388.6299942,3999,0.84375
1755943403.74543,4049,0.8125
1755943417.610121,4099,0.84375
1755943432.7978237,4149,0.78125
1755943446.488123,4199,0.859375
1755943460.9711118,4249,0.828125
1755943475.6259222,4299,0.84375
1755943490.1091805,4349,0.84375
1755943504.9813237,4399,0.828125
1755943531.4532435,4449,0.8125
1755943545.8298633,4499,0.796875
1755943560.5220304,4549,0.8125
1755943574.8919048,4599,0.859375
1755943588.882411,4649,0.875
1755943603.914514,4699,0.890625
1755943618.1188774,4749,0.890625
1755943632.8941374,4799,0.84375
1755943646.8994534,4849,0.84375
1755943661.2097342,4899,0.828125
1755943687.517221,4949,0.8125
1755943702.2271175,4999,0.890625
1755943716.388705,5049,0.9375
1755943731.3250496,5099,0.921875
1755943745.5285408,5149,0.859375
1755943759.7575188,5199,0.859375
1755943774.5145504,5249,0.90625
1755943788.7271364,5299,0.890625
1755943803.5211313,5349,0.84375
1755943817.6558378,5399,0.890625
1755943844.9060442,5449,0.9375
1755943859.0881145,5499,0.90625
1755943873.8661819,5549,0.90625
1755943888.0917943,5599,0.84375
1755943903.0796819,5649,0.90625
1755943917.208812,5699,0.84375
1755943932.157031,5749,0.828125
1755943946.3521297,5799,0.875
1755943961.2708123,5849,0.859375
1755943975.3730495,5899,0.859375
1755944001.7626967,5949,0.921875
1755944015.9428172,5999,0.890625
1755944030.8831933,6049,0.921875
1755944044.89002,6099,0.8125
1755944059.9977074,6149,0.859375
1755944074.034808,6199,0.9375
1755944088.1776273,6249,0.90625
1755944103.0367744,6299,0.9375
1755944117.088397,6349,0.84375
1755944143.3821838,6399,0.921875
1755944158.538232,6449,0.9375
1755944172.4517787,6499,0.984375
1755944186.6077423,6549,0.859375
1755944201.6789916,6599,0.9375
1755944215.7293706,6649,0.875
1755944230.9588575,6699,0.875
1755944244.7527065,6749,0.921875
1755944259.9751933,6799,0.890625
1755944273.8847258,6849,0.921875
1755944300.551975,6899,0.875
1755944314.5703053,6949,0.921875
1755944329.7827122,6999,0.9375
1755944343.6291428,7049,0.921875
1755944358.7998214,7099,0.9375
1755944372.6980708,7149,0.875
1755944386.855922,7199,0.875
1755944401.7976174,7249,0.90625
1755944415.9418406,7299,0.90625
1755944431.1496797,7349,0.90625
1755944457.502243,7399,0.90625
1755944471.455947,7449,0.96875
1755944485.6351023,7499,0.921875
1755944500.744619,7549,0.890625
1755944514.8366845,7599,0.9375
1755944530.0943449,7649,0.953125
1755944544.2218924,7699,0.921875
1755944559.0759673,7749,0.90625
1755944573.2107306,7799,0.859375
1755944587.372964,7849,0.90625
1755944612.5780175,7899,0.890625
1755944627.6293318,7949,0.84375
1755944641.7518582,7999,0.921875
1755944656.7675016,8049,0.9375
1755944670.879373,8099,0.890625
1755944685.0332327,8149,0.875
1755944700.0351803,8199,0.9375
1755944714.1960454,8249,0.890625
1755944729.2043998,8299,0.96875
1755944743.3032176,8349,0.84375
1755944769.822261,8399,0.96875
1755944783.9988449,8449,0.859375
1755944799.0090015,8499,0.96875
1755944813.1200433,8549,0.859375
1755944828.0942726,8599,0.875
1755944842.2092164,8649,0.90625
1755944857.2035494,8699,0.859375
1755944871.2899768,8749,0.921875
1755944885.416017,8799,0.875
1755944900.385228,8849,0.875
1755944926.9465199,8899,0.90625
1755944941.060706,8949,0.875
1755944956.0710483,8999,0.890625
1755944970.2663932,9049,0.953125
1755944984.193312,9099,0.90625
1755944999.3382394,9149,0.90625
1755945013.420701,9199,0.921875
1755945028.4298735,9249,0.9375
1755945042.510542,9299,0.890625
1755945068.9005535,9349,0.953125
1755945083.0250814,9399,0.90625
1755945098.0461783,9449,0.96875
1755945112.1613564,9499,0.90625
1755945126.3212569,9549,0.875
1755945141.7665696,9599,0.9375
1755945155.7250772,9649,0.953125
1755945170.9042368,9699,0.921875
1755945185.0048347,9749,0.921875
1755945199.0961568,9799,0.921875
1755945225.5035055,9849,0.921875
1755945240.5491335,9899,0.953125
1755945254.652776,9949,0.984375
1755945269.7045913,9999,0.90625
1755945283.8331468,10049,0.9375
1755945297.9384124,10099,0.953125
1755945312.9544218,10149,0.984375
1755945326.9948845,10199,0.953125
1755945342.0452828,10249,0.890625
1755945356.013432,10299,0.921875
1755945382.459685,10349,0.953125
1755945396.4978342,10399,0.953125
1755945411.6850913,10449,0.96875
1755945425.5896606,10499,0.9375
1755945440.8897192,10549,0.984375
1755945454.6703324,10599,0.921875
1755945469.903774,10649,0.921875
1755945483.816758,10699,0.921875
1755945497.9470515,10749,0.90625
1755945513.073504,10799,0.953125
1755945539.6705484,10849,0.9375
1755945553.5037813,10899,0.921875
1755945568.7641392,10949,0.90625
1755945582.668216,10999,0.953125
1755945596.7416413,11049,0.96875
1755945612.1152735,11099,0.953125
1755945625.9344735,11149,0.953125
1755945641.249445,11199,0.90625
1755945655.0835083,11249,0.890625
1755945670.351864,11299,0.953125
1755945694.3865678,11349,0.890625
1755945709.7034383,11399,0.875
1755945723.5214849,11449,0.9375
1755945738.8491147,11499,0.96875
1755945752.75205,11549,0.96875
1755945766.7612875,11599,0.953125
1755945781.8748312,11649,0.96875
1755945795.8057613,11699,0.921875
1755945811.095373,11749,0.90625
1755945825.008887,11799,0.984375
1755945851.3743553,11849,0.9375
1755945865.5157113,11899,0.9375
1755945880.7004828,11949,1.0
1755945894.5882154,11999,0.875
1755945909.8356395,12049,0.921875
1755945923.7712958,12099,1.0
1755945939.0529296,12149,0.953125
1755945952.8647997,12199,0.96875
1755945967.0324552,12249,0.921875
1755945981.65728,12299,0.75
1755946007.324922,12349,0.921875
1755946021.1059546,12399,0.953125
1755946036.5266814,12449,0.984375
1755946050.2282295,12499,0.921875
1755946064.5791204,12549,0.96875
1755946079.2375612,12599,0.90625
1755946093.2736607,12649,0.90625
1755946108.8165534,12699,0.96875
1755946122.9019482,12749,0.953125
1755946148.1438396,12799,1.0
1755946162.1869264,12849,0.953125
1755946177.332723,12899,0.96875
1755946191.3419645,12949,0.953125
1755946206.442608,12999,0.9375
1755946220.449067,13049,0.96875
1755946235.5367768,13099,0.984375
1755946249.580575,13149,0.9375
1755946263.6099787,13199,0.9375
1755946278.7356288,13249,0.96875
1755946304.0224047,13299,0.96875
1755946318.075271,13349,0.953125
1755946332.1156821,13399,0.953125
1755946347.257468,13449,0.984375
1755946361.2617433,13499,1.0
1755946376.347637,13549,0.921875
1755946390.3733957,13599,0.921875
1755946405.508164,13649,0.984375
1755946419.5338786,13699,0.984375
1755946433.5528362,13749,0.96875
1755946458.780076,13799,0.96875
1755946473.9070032,13849,0.9375
1755946487.953241,13899,0.953125
1755946503.0420692,13949,0.953125
1755946517.1020622,13999,0.953125
1755946531.1196666,14049,0.96875
1755946546.2054384,14099,0.96875
1755946560.1171217,14149,0.953125
1755946575.4153242,14199,0.96875
1755946589.459178,14249,0.953125
1755946614.7560327,14299,0.9375
1755946628.7625122,14349,0.90625
1755946643.9948838,14399,0.984375
1755946657.9336016,14449,1.0
1755946673.1534336,14499,0.953125
1755946687.152452,14549,0.9375
1755946702.2108328,14599,1.0
1755946716.2846863,14649,0.953125
1755946730.2275796,14699,0.953125
1755946745.4261642,14749,0.984375
1755946771.678346,14799,0.9375
1755946786.228714,14849,0.953125
1755946800.5370371,14899,0.953125
1755946815.4394672,14949,0.96875
1755946831.3227882,14999,0.9375
1755946845.3231082,15049,0.984375
1755946859.6789746,15099,0.96875
1755946873.6383336,15149,0.90625
1755946889.348476,15199,0.953125
1755946902.9728534,15249,0.9375
1755946928.1556034,15299,0.9375
1755946941.9175324,15349,0.921875
1755946957.5883658,15399,0.921875
1755946971.2124803,15449,0.953125
1755946986.631362,15499,0.96875
1755947000.6379702,15549,0.96875
1755947014.4508364,15599,0.828125
1755947029.8259056,15649,0.953125
1755947043.6207883,15699,0.953125
1755947070.04959,15749,0.953125
1755947085.371797,15799,0.953125
1755947099.2862577,15849,0.984375
1755947113.181273,15899,0.953125
1755947128.4449813,15949,0.96875
1755947142.3507338,15999,0.953125
1755947157.6869798,16049,0.96875
1755947171.5065122,16099,0.984375
1755947186.8621004,16149,0.96875
1755947200.7948387,16199,0.96875
1755947227.2159464,16249,0.96875
1755947241.162706,16299,0.96875
1755947256.4377942,16349,1.0
1755947270.221357,16399,0.984375
1755947285.5626078,16449,0.984375
1755947299.3904555,16499,0.953125
1755947313.3940935,16549,1.0
1755947328.6975157,16599,0.953125
1755947342.483741,16649,0.96875
1755947357.8621156,16699,0.953125
1755947381.6394858,16749,0.921875
1755947396.7532825,16799,0.953125
1755947410.7578547,16849,0.96875
1755947426.0303001,16899,0.953125
1755947439.9195142,16949,0.90625
1755947455.253552,16999,0.953125
1755947468.996641,17049,0.984375
1755947483.1354547,17099,1.0
1755947498.4509614,17149,0.984375
1755947512.4825335,17199,0.984375
1755947537.773089,17249,0.96875
1755947552.9022107,17299,0.984375
1755947566.9351027,17349,0.984375
1755947580.927836,17399,0.96875
1755947596.0455992,17449,0.984375
1755947610.081244,17499,0.90625
1755947625.1860766,17549,0.921875
1755947639.1811388,17599,0.984375
1755947654.3297803,17649,0.9375
1755947668.3513622,17699,1.0
1755947694.9935215,17749,0.96875
1755947709.025487,17799,1.0
1755947724.1328073,17849,0.984375
1755947738.131367,17899,1.0
1755947753.232793,17949,0.96875
1755947767.2472477,17999,0.953125
1755947781.2749386,18049,0.984375
1755947796.4299994,18099,0.953125
1755947810.444108,18149,1.0
1755947825.529867,18199,0.953125
1755947850.8026087,18249,0.953125
1755947865.9381669,18299,0.984375
1755947879.9534662,18349,0.984375
1755947895.0827026,18399,0.984375
1755947909.0979238,18449,0.96875
1755947924.2296836,18499,0.984375
1755947938.2369118,18549,0.96875
1755947953.428991,18599,0.953125
1755947967.437986,18649,0.921875
1755947992.550809,18699,0.984375
1755948006.5828955,18749,0.96875
1755948021.7563026,18799,0.984375
1755948035.7332466,18849,0.96875
1755948049.7447526,18899,0.984375
1755948065.0607202,18949,0.96875
