Wall time,Step,Value
1755949867.3014596,49,0.109375
1755949881.1380622,99,0.171875
1755949896.2832804,149,0.328125
1755949910.1381469,199,0.46875
1755949925.2696128,249,0.3125
1755949939.1328228,299,0.453125
1755949953.0099645,349,0.390625
1755949968.2142293,399,0.53125
1755949982.1831229,449,0.484375
1755950009.2973142,499,0.484375
1755950023.175095,549,0.4375
1755950038.3770397,599,0.53125
1755950052.2152262,649,0.59375
1755950067.454088,699,0.578125
1755950081.267392,749,0.421875
1755950096.4215276,799,0.453125
1755950110.3095105,849,0.578125
1755950124.1618488,899,0.515625
1755950139.2641695,949,0.546875
1755950166.2115784,999,0.4375
1755950179.924945,1049,0.640625
1755950195.223518,1099,0.53125
1755950209.2534685,1149,0.546875
1755950223.2493012,1199,0.578125
1755950237.9923453,1249,0.59375
1755950251.8401985,1299,0.59375
1755950267.2152088,1349,0.578125
1755950281.1022267,1399,0.671875
1755950296.2832139,1449,0.5625
1755950321.7417357,1499,0.6875
1755950337.0119715,1549,0.671875
1755950350.8928628,1599,0.578125
1755950366.0904748,1649,0.640625
1755950379.9906974,1699,0.640625
1755950395.2066228,1749,0.640625
1755950409.07649,1799,0.5625
1755950422.9725747,1849,0.609375
1755950438.157297,1899,0.53125
1755950452.0085335,1949,0.640625
1755950478.7302575,1999,0.671875
1755950492.5844474,2049,0.578125
1755950507.8409717,2099,0.625
1755950521.6844664,2149,0.6875
1755950537.0597105,2199,0.71875
1755950550.791175,2249,0.6875
1755950566.023006,2299,0.671875
1755950579.8929057,2349,0.625
1755950593.701927,2399,0.671875
1755950608.9443128,2449,0.65625
1755950635.8657954,2499,0.796875
1755950649.6759102,2549,0.671875
1755950664.9018168,2599,0.640625
1755950678.8847985,2649,0.671875
1755950692.5724041,2699,0.671875
1755950707.9185,2749,0.671875
1755950721.6826172,2799,0.640625
1755950737.0618784,2849,0.78125
1755950750.7281766,2899,0.78125
1755950766.032953,2949,0.75
1755950791.6960163,2999,0.6875
1755950807.1448379,3049,0.609375
1755950820.7080467,3099,0.71875
1755950836.2186623,3149,0.734375
1755950849.8483517,3199,0.71875
1755950865.1362731,3249,0.65625
1755950878.9163687,3299,0.671875
1755950892.8256278,3349,0.75
1755950908.1396708,3399,0.765625
1755950935.2450745,3449,0.703125
1755950949.0286958,3499,0.703125
1755950962.9052854,3549,0.65625
1755950978.359192,3599,0.65625
1755950992.0734334,3649,0.765625
1755951007.458911,3699,0.71875
1755951021.1479068,3749,0.734375
1755951036.556481,3799,0.75
1755951050.4615831,3849,0.703125
1755951064.3267512,3899,0.765625
1755951091.5483317,3949,0.671875
1755951106.826214,3999,0.75
1755951120.70361,4049,0.796875
1755951135.9548135,4099,0.71875
1755951149.8572311,4149,0.75
1755951163.7191942,4199,0.796875
1755951178.999903,4249,0.734375
1755951192.883478,4299,0.703125
1755951208.1388164,4349,0.8125
1755951222.0333955,4399,0.8125
1755951249.2844756,4449,0.765625
1755951263.1945071,4499,0.71875
1755951278.4436224,4549,0.765625
1755951292.322096,4599,0.78125
1755951307.632403,4649,0.828125
1755951321.4855525,4699,0.765625
1755951336.7444723,4749,0.828125
1755951350.6301508,4799,0.828125
1755951364.4675486,4849,0.8125
1755951379.7608242,4899,0.734375
1755951406.4502416,4949,0.828125
1755951420.2788959,4999,0.71875
1755951434.1765018,5049,0.8125
1755951449.517426,5099,0.78125
1755951463.3576307,5149,0.78125
1755951478.6310558,5199,0.828125
1755951492.4802487,5249,0.796875
1755951507.738013,5299,0.78125
1755951521.5819244,5349,0.8125
1755951535.4091382,5399,0.734375
1755951562.5069928,5449,0.8125
1755951577.754813,5499,0.8125
1755951591.5778735,5549,0.78125
1755951606.8594062,5599,0.8125
1755951620.726698,5649,0.734375
1755951634.6115847,5699,0.84375
1755951649.9024677,5749,0.765625
1755951663.7584007,5799,0.859375
1755951679.0375159,5849,0.84375
1755951692.8596597,5899,0.765625
1755951720.049807,5949,0.828125
1755951733.9139047,5999,0.75
1755951749.2769227,6049,0.75
1755951762.9732816,6099,0.921875
1755951778.3808396,6149,0.84375
1755951792.210787,6199,0.875
1755951807.363168,6249,0.78125
1755951821.3372838,6299,0.859375
1755951835.1227922,6349,0.875
1755951862.4159253,6399,0.890625
1755951877.7056997,6449,0.859375
1755951891.5231395,6499,0.859375
1755951905.4163635,6549,0.8125
1755951920.8015947,6599,0.765625
1755951934.4334261,6649,0.828125
1755951949.8940413,6699,0.921875
1755951963.621389,6749,0.875
1755951979.099099,6799,0.8125
1755951992.7790155,6849,0.8125
1755952019.8705873,6899,0.859375
1755952033.6000679,6949,0.78125
1755952049.1569812,6999,0.8125
1755952062.7521117,7049,0.75
1755952078.2559845,7099,0.921875
1755952091.8756688,7149,0.9375
1755952105.7926311,7199,0.875
1755952121.1253805,7249,0.875
1755952134.8904877,7299,0.90625
1755952150.405632,7349,0.828125
1755952177.3444061,7399,0.84375
1755952191.0840886,7449,0.875
1755952204.993072,7499,0.78125
1755952220.3603156,7549,0.828125
1755952234.0803354,7599,0.890625
1755952249.5595393,7649,0.921875
1755952263.4415784,7699,0.828125
1755952278.7093997,7749,0.875
1755952292.6051257,7799,0.828125
1755952306.4833512,7849,0.8125
1755952331.9713109,7899,0.71875
1755952347.259646,7949,0.875
1755952361.122132,7999,0.875
1755952374.972512,8049,0.875
1755952390.2485685,8099,0.90625
1755952404.0982273,8149,0.890625
1755952419.3572898,8199,0.859375
1755952433.228337,8249,0.84375
1755952448.5154774,8299,0.890625
1755952462.3756576,8349,0.921875
1755952489.172182,8399,0.8125
1755952503.0378506,8449,0.84375
1755952518.3014863,8499,0.90625
1755952532.128584,8549,0.859375
1755952547.3662395,8599,0.8125
1755952561.2209647,8649,0.921875
1755952575.0779102,8699,0.875
1755952591.3053167,8749,0.859375
1755952605.6866903,8799,0.921875
1755952621.4738913,8849,0.859375
1755952649.2045383,8899,0.875
1755952663.4722521,8949,0.875
1755952677.735435,8999,0.890625
1755952693.6084135,9049,0.921875
1755952707.498125,9099,0.890625
1755952722.8711414,9149,0.84375
1755952736.847738,9199,0.78125
1755952752.113507,9249,0.8125
1755952766.0521076,9299,0.875
1755952793.2559125,9349,0.90625
1755952807.118312,9399,0.90625
1755952822.390139,9449,0.828125
1755952836.2332888,9499,0.921875
1755952851.5145085,9549,0.921875
1755952865.3500817,9599,0.90625
1755952879.2169144,9649,0.78125
1755952894.514799,9699,0.90625
1755952909.0001824,9749,0.9375
1755952927.257008,9799,0.90625
1755952962.8928967,9849,0.8125
1755952980.3056548,9899,0.875
1755953000.2243135,9949,0.875
1755953018.2709324,9999,0.921875
1755953035.1713612,10049,0.921875
1755953053.4180732,10099,0.890625
1755953070.3161507,10149,0.890625
1755953088.64753,10199,0.921875
1755953105.7931862,10249,0.828125
1755953124.828648,10299,0.859375
1755953156.6108217,10349,0.828125
1755953172.9328396,10399,0.875
1755953191.1942284,10449,0.875
1755953207.615647,10499,0.921875
1755953226.1368911,10549,0.9375
1755953242.6941133,10599,0.921875
1755953261.0346506,10649,0.9375
1755953277.5009613,10699,0.9375
1755953296.2472034,10749,0.9375
1755953312.643182,10799,0.859375
1755953343.9272137,10849,0.890625
1755953363.3486903,10899,0.828125
1755953379.971017,10949,0.90625
1755953398.6601596,10999,0.921875
1755953416.4939978,11049,0.921875
1755953435.1403105,11099,0.90625
1755953452.434188,11149,0.9375
1755953471.0709,11199,0.9375
1755953490.5658996,11249,0.9375
1755953507.7001212,11299,0.921875
1755953537.333459,11349,0.921875
1755953553.9460757,11399,0.90625
1755953572.6080332,11449,0.890625
1755953592.65724,11499,0.875
1755953610.5091364,11549,0.890625
1755953629.096327,11599,0.90625
1755953646.1470037,11649,0.921875
1755953665.3526866,11699,0.90625
1755953682.1997592,11749,0.984375
1755953700.9718168,11799,0.875
1755953734.4991188,11849,0.96875
1755953752.3034074,11899,0.875
1755953770.8062418,11949,0.96875
1755953788.2834373,11999,0.90625
1755953806.213734,12049,0.90625
1755953822.9053774,12099,0.90625
1755953841.2041109,12149,0.90625
1755953859.967128,12199,0.9375
1755953877.3614473,12249,0.859375
1755953896.5255852,12299,0.5
1755953929.1402144,12349,0.90625
1755953946.9322758,12399,0.96875
1755953966.1704547,12449,0.90625
1755953983.3099878,12499,0.921875
1755954001.5797763,12549,0.921875
1755954018.7033222,12599,0.90625
1755954037.1660986,12649,0.953125
1755954054.8495142,12699,0.84375
1755954073.116065,12749,0.953125
1755954105.1721163,12799,0.890625
1755954121.8602026,12849,0.921875
1755954139.691991,12899,0.953125
1755954156.2970095,12949,0.953125
1755954174.008672,12999,0.90625
1755954191.4372044,13049,0.9375
1755954209.7769675,13099,0.90625
1755954227.872551,13149,0.828125
1755954245.626579,13199,0.921875
1755954264.4009516,13249,0.9375
1755954296.5007818,13299,0.921875
1755954313.8634622,13349,0.921875
1755954332.6809638,13399,0.921875
1755954349.7997804,13449,0.921875
