Wall time,Step,Value
1756490165.8757591,49,0.15625
1756490190.0607843,99,0.203125
1756490211.8567429,149,0.28125
1756490237.8569791,199,0.3125
1756490263.100348,249,0.375
1756490285.136324,299,0.453125
1756490310.226693,349,0.34375
1756490335.3701982,399,0.453125
1756490357.3543963,449,0.546875
1756490402.5680413,499,0.34375
1756490424.6406267,549,0.421875
1756490449.104523,599,0.546875
1756490473.551466,649,0.5
1756490495.369937,699,0.53125
1756490519.926001,749,0.46875
1756490545.1121695,799,0.65625
1756490562.3237686,849,0.6875
1756490581.2458372,899,0.640625
1756490597.6509182,949,0.65625
1756490629.1834552,999,0.578125
1756490643.9053695,1049,0.65625
1756490661.5413609,1099,0.625
1756490676.1831958,1149,0.703125
1756490693.9089544,1199,0.6875
1756490708.5688891,1249,0.59375
1756490726.6482491,1299,0.65625
1756490741.357227,1349,0.65625
1756490759.116187,1399,0.640625
1756490773.7255416,1449,0.625
1756490803.7938704,1499,0.734375
1756490818.330555,1549,0.765625
1756490836.1211236,1599,0.640625
1756490850.6688204,1649,0.71875
1756490869.3084128,1699,0.703125
1756490885.2028563,1749,0.71875
1756490901.1221492,1799,0.59375
1756490921.442241,1849,0.796875
1756490936.040106,1899,0.703125
1756490954.1895847,1949,0.734375
1756490984.3618414,1999,0.609375
1756490999.031828,2049,0.8125
1756491013.6354074,2099,0.6875
1756491031.339174,2149,0.734375
1756491045.9779253,2199,0.734375
1756491063.652318,2249,0.765625
1756491078.3591678,2299,0.765625
1756491096.201777,2349,0.71875
1756491110.8632143,2399,0.765625
1756491128.5731256,2449,0.796875
1756491155.483554,2499,0.734375
1756491173.3055546,2549,0.703125
1756491187.8775883,2599,0.796875
1756491205.7451963,2649,0.734375
1756491220.3521552,2699,0.890625
1756491238.1873603,2749,0.71875
1756491252.7324705,2799,0.765625
1756491270.5306535,2849,0.8125
1756491285.1006854,2899,0.765625
1756491302.80461,2949,0.703125
1756491329.4063501,2999,0.828125
1756491347.5743885,3049,0.765625
1756491362.0053859,3099,0.765625
1756491380.000382,3149,0.9375
1756491394.808843,3199,0.90625
1756491412.3925707,3249,0.71875
1756491426.9997396,3299,0.859375
1756491444.9132557,3349,0.8125
1756491461.9660516,3399,0.8125
1756491493.1721318,3449,0.828125
1756491508.2927406,3499,0.734375
