Wall time,Step,Value
1756503581.6533422,49,0.046875
1756503610.8225548,149,0.140625
1756503625.4361622,199,0.234375
1756503639.9916394,249,0.328125
1756503654.5620675,299,0.3125
1756503669.1695766,349,0.328125
1756503683.7912226,399,0.421875
1756503712.930768,499,0.578125
1756503728.2804449,549,0.484375
1756503743.2026,599,0.40625
1756503773.2502558,699,0.65625
1756503787.863967,749,0.4375
1756503802.4463856,799,0.609375
1756503817.0364404,849,0.625
1756503831.6015518,899,0.546875
1756503846.1833103,949,0.625
1756503860.7843766,999,0.625
1756503875.3846118,1049,0.65625
1756503890.0034163,1099,0.671875
1756503938.6909268,1149,0.59375
1756503953.3665137,1199,0.703125
1756503982.7062747,1299,0.703125
1756503997.376079,1349,0.71875
1756504012.0004265,1399,0.75
1756504026.666276,1449,0.640625
1756504041.378314,1499,0.6875
1756504056.0640643,1549,0.640625
1756504070.859456,1599,0.6875
1756504085.5051844,1649,0.71875
1756504100.1576257,1699,0.796875
1756504114.798936,1749,0.640625
1756504129.4735317,1799,0.71875
1756504144.1308558,1849,0.75
1756504158.780737,1899,0.71875
1756504173.4018304,1949,0.6875
1756504188.0124564,1999,0.578125
1756504202.644728,2049,0.703125
1756504232.0271995,2149,0.78125
1756504246.6592712,2199,0.671875
1756504295.2075527,2249,0.734375
1756504324.4813437,2349,0.65625
1756504339.1253555,2399,0.765625
1756504353.7553735,2449,0.703125
1756504368.4585938,2499,0.71875
1756504383.1393142,2549,0.84375
1756504397.828358,2599,0.78125
1756504412.497315,2649,0.6875
1756504427.1371965,2699,0.796875
1756504441.8177614,2749,0.84375
1756504456.4369347,2799,0.6875
1756504485.7677236,2899,0.625
1756504500.3611996,2949,0.75
1756504529.7373962,3049,0.796875
1756504544.4452956,3099,0.703125
1756504559.1137602,3149,0.75
1756504573.7579463,3199,0.703125
1756504603.2030313,3299,0.796875
1756504617.9026697,3349,0.75
1756504666.106841,3399,0.765625
1756504680.7686226,3449,0.765625
1756504695.4494486,3499,0.734375
1756504710.0711198,3549,0.78125
1756504724.6943932,3599,0.796875
1756504739.381867,3649,0.875
1756504754.0755877,3699,0.78125
1756504768.7327762,3749,0.78125
1756504783.4302375,3799,0.828125
1756504798.135273,3849,0.828125
1756504812.8465712,3899,0.796875
1756504827.569998,3949,0.8125
1756504842.239152,3999,0.890625
1756504856.9766896,4049,0.828125
1756504871.6560183,4099,0.890625
1756504886.316872,4149,0.75
1756504900.9820623,4199,0.78125
1756504915.7019954,4249,0.734375
1756504930.3530672,4299,0.734375
1756504945.046753,4349,0.828125
1756504959.753515,4399,0.828125
1756504974.4202867,4449,0.703125
1756505021.5883558,4499,0.875
1756505036.3441796,4549,0.90625
1756505065.8169243,4649,0.875
1756505080.5647755,4699,0.78125
1756505095.3104842,4749,0.828125
1756505110.029611,4799,0.828125
1756505124.696507,4849,0.8125
1756505153.985953,4949,0.875
1756505168.6072714,4999,0.796875
1756505183.3476627,5049,0.828125
1756505198.0017564,5099,0.8125
1756505227.417394,5199,0.890625
1756505242.1139166,5249,0.78125
1756505256.8133678,5299,0.796875
1756505271.4606502,5349,0.8125
1756505286.1318192,5399,0.765625
1756505300.8751786,5449,0.875
1756505315.5267715,5499,0.84375
1756505330.2500005,5549,0.765625
1756505378.7883244,5599,0.796875
1756505393.4801784,5649,0.84375
1756505422.821038,5749,0.90625
1756505437.4888804,5799,0.859375
1756505452.2310076,5849,0.8125
1756505466.9697084,5899,0.84375
1756505481.7076142,5949,0.859375
1756505496.4120438,5999,0.78125
1756505511.1316035,6049,0.828125
1756505525.831373,6099,0.78125
1756505540.510594,6149,0.8125
1756505555.1638775,6199,0.890625
1756505584.6039772,6299,0.796875
1756505599.2671213,6349,0.875
1756505613.9870164,6399,0.890625
1756505628.730376,6449,0.828125
1756505643.4104657,6499,0.828125
1756505658.0962284,6549,0.84375
1756505672.7501264,6599,0.84375
1756505687.426695,6649,0.9375
1756505749.1244097,6749,0.859375
1756505778.5226753,6849,0.90625
1756505793.2713413,6899,0.859375
1756505808.0044324,6949,0.9375
1756505822.7090404,6999,0.90625
1756505837.378766,7049,0.8125
1756505852.086641,7099,0.890625
1756505866.7602012,7149,0.90625
1756505881.4558647,7199,0.796875
1756505896.1650183,7249,0.84375
1756505910.8557537,7299,0.953125
1756505925.6185062,7349,0.859375
1756505940.3165066,7399,0.828125
1756505955.0080926,7449,0.875
1756505984.464416,7549,0.9375
1756506013.8341572,7649,0.859375
1756506028.6126845,7699,0.796875
1756506043.3606465,7749,0.859375
1756506106.74545,7849,0.921875
1756506121.504182,7899,0.859375
1756506136.1576064,7949,0.859375
1756506150.815047,7999,0.90625
