Wall time,Step,Value
1756105257.01626,49,0.109375
1756105288.0133426,149,0.1875
1756105303.1388183,199,0.21875
1756105316.4045215,249,0.234375
1756105329.7026231,299,0.296875
1756105346.0814009,349,0.375
1756105359.3050578,399,0.484375
1756105388.666532,499,0.484375
1756105401.9048867,549,0.5625
1756105418.1085193,599,0.546875
1756105447.518404,699,0.5625
1756105460.8029177,749,0.5
1756105476.9734783,799,0.5625
1756105490.487491,849,0.578125
1756105503.7597456,899,0.65625
1756105520.454057,949,0.5
1756105534.037407,999,0.53125
1756105550.5818472,1049,0.640625
1756105564.1883051,1099,0.546875
1756105610.2934492,1149,0.671875
1756105626.5838609,1199,0.65625
1756105656.1001778,1299,0.609375
1756105669.4374425,1349,0.75
1756105682.7284753,1399,0.6875
1756105700.108043,1449,0.640625
1756105713.7115543,1499,0.703125
1756105728.4855406,1549,0.578125
1756105742.0274646,1599,0.671875
1756105758.3382998,1649,0.59375
1756105772.010259,1699,0.65625
1756105786.0932457,1749,0.6875
1756105802.1266804,1799,0.546875
1756105816.038924,1849,0.71875
1756105831.834448,1899,0.734375
1756105845.5164368,1949,0.609375
1756105861.1801195,1999,0.640625
1756105874.9889145,2049,0.78125
1756105904.4425406,2149,0.65625
1756105917.986088,2199,0.6875
1756105966.915835,2249,0.78125
1756105996.2052214,2349,0.796875
1756106009.9583004,2399,0.75
1756106023.432703,2449,0.734375
1756106039.7614121,2499,0.828125
1756106053.177379,2549,0.734375
1756106069.2307897,2599,0.8125
1756106082.8665276,2649,0.6875
1756106096.2236626,2699,0.734375
1756106112.7032168,2749,0.859375
1756106126.0419993,2799,0.6875
1756106155.6649337,2899,0.6875
1756106171.748964,2949,0.84375
1756106198.8754435,3049,0.875
1756106214.9534967,3099,0.765625
1756106228.3929963,3149,0.71875
1756106244.773036,3199,0.75
1756106274.1140578,3299,0.75
1756106287.7550635,3349,0.765625
1756106333.8404665,3399,0.890625
1756106349.8156207,3449,0.8125
1756106363.38528,3499,0.84375
1756106379.311723,3549,0.8125
1756106392.9510531,3599,0.90625
1756106406.4656918,3649,0.765625
1756106422.5413237,3699,0.828125
1756106436.020037,3749,0.8125
1756106452.02294,3799,0.8125
1756106465.656548,3849,0.828125
1756106479.206625,3899,0.8125
1756106495.3660653,3949,0.796875
1756106508.8122745,3999,0.765625
1756106524.8887062,4049,0.8125
1756106538.3885405,4099,0.71875
1756106554.4207268,4149,0.8125
1756106568.040866,4199,0.78125
1756106581.6406658,4249,0.8125
1756106597.8424442,4299,0.875
1756106611.2875638,4349,0.765625
1756106627.4377081,4399,0.71875
1756106641.0071232,4449,0.828125
1756106687.2043126,4499,0.765625
1756106703.379134,4549,0.828125
1756106732.9137936,4649,0.796875
1756106746.288906,4699,0.796875
1756106762.3277044,4749,0.828125
1756106775.5329065,4799,0.875
1756106789.197145,4849,0.84375
1756106819.111188,4949,0.84375
1756106835.4332535,4999,0.8125
1756106848.8979068,5049,0.796875
1756106862.0946846,5099,0.828125
1756106891.6436546,5199,0.890625
1756106908.4272492,5249,0.84375
1756106921.6332488,5299,0.859375
1756106938.069077,5349,0.890625
1756106951.4476094,5399,0.8125
1756106964.5942724,5449,0.90625
1756106981.3584383,5499,0.8125
1756106994.7931426,5549,0.875
1756107042.7890103,5599,0.84375
1756107056.7395816,5649,0.859375
1756107085.8306959,5749,0.859375
1756107099.0387206,5799,0.796875
1756107116.092522,5849,0.828125
1756107129.6113584,5899,0.90625
1756107142.7854044,5949,0.828125
1756107159.0125725,5999,0.78125
1756107172.2090926,6049,0.890625
1756107188.9915316,6099,0.828125
1756107202.5311413,6149,0.875
1756107215.759923,6199,0.859375
1756107245.076305,6299,0.90625
1756107262.10497,6349,0.796875
1756107275.829447,6399,0.828125
1756107291.513123,6449,0.84375
1756107304.669685,6499,0.90625
1756107317.813416,6549,0.796875
1756107335.1546075,6599,0.765625
1756107348.8635745,6649,0.84375
1756107411.3681138,6749,0.828125
1756107440.482676,6849,0.9375
1756107453.6564746,6899,0.84375
1756107470.2896216,6949,0.9375
1756107483.4619677,6999,0.9375
1756107499.8815105,7049,0.875
1756107513.4976528,7099,0.90625
1756107527.1451824,7149,0.875
1756107543.2027295,7199,0.875
1756107556.5829542,7249,0.890625
1756107572.9634676,7299,0.921875
1756107586.3393683,7349,0.890625
1756107599.4789178,7399,0.90625
1756107616.23022,7449,0.828125
1756107645.9478805,7549,0.90625
1756107675.6694853,7649,0.875
1756107689.1705587,7699,0.875
1756107702.3700612,7749,0.90625
1756107764.475352,7849,0.78125
1756107777.7121096,7899,0.875
1756107794.3123124,7949,0.921875
1756107807.5044632,7999,0.890625
1756107824.1936083,8049,0.84375
1756107837.406279,8099,0.875
1756107853.9792767,8149,0.921875
1756107867.338773,8199,0.921875
1756107880.5025897,8249,0.828125
1756107897.2047083,8299,0.890625
1756107910.4181254,8349,0.84375
1756107940.2319846,8449,0.875
1756107953.4608538,8499,0.8125
1756107970.1712956,8549,0.875
1756107983.358912,8599,0.875
1756107999.9730837,8649,0.90625
1756108013.2870824,8699,0.921875
1756108026.5652401,8749,0.875
1756108043.2029703,8799,0.828125
1756108056.4851186,8849,0.828125
1756108073.219355,8899,0.859375
1756108118.569176,8949,0.875
1756108131.7367566,8999,0.90625
1756108148.6155825,9049,0.84375
1756108161.814446,9099,0.953125
1756108178.5274715,9149,0.890625
1756108191.8552885,9199,0.875
1756108205.0742269,9249,0.921875
1756108221.9889615,9299,0.953125
1756108235.3083506,9349,0.9375
1756108281.5810204,9499,0.84375
1756108294.9198475,9549,0.84375
1756108308.0658443,9599,0.84375
1756108324.9660206,9649,0.859375
1756108338.4296436,9699,0.875
1756108354.424559,9749,0.875
1756108367.6326094,9799,0.796875
1756108398.5688727,9899,0.828125
1756108412.1080835,9949,0.859375
1756108427.2204978,9999,0.875
1756108440.3584287,10049,0.875
1756108502.297309,10149,0.90625
1756108515.4414124,10199,0.875
1756108532.4997904,10249,0.84375
1756108546.0167282,10299,0.90625
1756108562.0963352,10349,0.890625
1756108575.293288,10399,0.84375
1756108588.436651,10449,0.953125
1756108605.5317502,10499,0.84375
1756108618.944323,10549,0.90625
1756108635.0381064,10599,0.90625
1756108648.1960526,10649,0.9375
1756108661.346315,10699,0.859375
1756108678.654713,10749,0.9375
1756108691.9912212,10799,0.875
1756108707.9810958,10849,0.96875
1756108734.7791698,10949,0.875
1756108751.2529256,10999,0.859375
1756108764.7436593,11049,0.875
1756108781.102537,11099,0.859375
1756108794.5619557,11149,0.890625
1756108839.7423365,11199,0.875
1756108856.1092677,11249,0.875
1756108869.5074084,11299,0.796875
1756108885.8777354,11349,0.96875
1756108915.6893923,11449,0.8125
1756108929.0816975,11499,0.828125
1756108942.4362783,11549,0.875
1756108958.8895447,11599,0.890625
1756108972.2484255,11649,0.84375
1756108988.679321,11699,0.96875
1756109002.0787864,11749,0.8125
1756109015.4238026,11799,0.875
1756109031.9184017,11849,0.84375
1756109045.2733026,11899,0.921875
1756109061.6913571,11949,0.921875
1756109075.078726,11999,0.90625
1756109104.9793763,12099,0.875
1756109118.3605132,12149,0.828125
1756109134.869475,12199,0.875
1756109148.225249,12249,0.828125
1756109193.5414264,12299,0.875
1756109209.7701635,12349,0.890625
1756109222.9488955,12399,0.90625
1756109239.6003087,12449,0.921875
1756109252.8301244,12499,0.84375
1756109269.491049,12549,0.90625
1756109282.9424806,12599,0.84375
1756109296.2102072,12649,0.84375
1756109312.7593446,12699,0.828125
1756109326.0289295,12749,0.875
1756109342.57521,12799,0.890625
1756109369.073757,12899,0.921875
1756109385.6835487,12949,0.8125
1756109398.8217459,12999,0.890625
1756109415.6199586,13049,0.8125
1756109428.8480208,13099,0.90625
1756109442.054195,13149,0.90625
1756109458.8922613,13199,0.890625
1756109488.8296282,13299,0.9375
1756109518.6394427,13399,0.8125
1756109563.8886364,13449,0.828125
1756109577.1723318,13499,0.828125
1756109593.725193,13549,0.84375
1756109607.0592468,13599,0.796875
1756109636.976501,13699,0.890625
1756109650.2247627,13749,0.953125
1756109666.7385137,13799,0.890625
1756109680.024312,13849,0.890625
1756109709.9636686,13949,0.921875
1756109723.1845875,13999,0.875
1756109739.782847,14049,0.890625
1756109753.0438323,14099,0.859375
1756109769.6473157,14149,0.921875
1756109783.040718,14199,0.953125
1756109796.2162654,14249,0.90625
1756109812.8654015,14299,0.921875
1756109826.0907884,14349,0.828125
1756109842.7138715,14399,0.921875
1756109855.9812148,14449,0.921875
1756109869.2031293,14499,0.890625
1756109917.931751,14549,0.921875
1756109931.1267827,14599,0.921875
1756109947.8040469,14649,0.859375
1756109974.3746276,14749,0.875
1756109990.9830663,14799,0.9375
1756110004.3586864,14849,0.84375
1756110020.9494326,14899,0.859375
1756110034.403199,14949,0.9375
1756110047.8079703,14999,0.875
1756110064.2109723,15049,0.859375
1756110077.444004,15099,0.890625
1756110094.1063986,15149,0.90625
1756110107.3921714,15199,0.9375
1756110123.9935732,15249,0.90625
1756110137.3844454,15299,0.921875
1756110150.5267534,15349,0.859375
1756110167.2408159,15399,0.828125
1756110180.4960856,15449,0.90625
1756110197.0997772,15499,0.890625
1756110223.6435177,15599,0.796875
1756110272.2762704,15649,0.90625
1756110285.5460086,15699,0.921875
1756110302.188498,15749,0.921875
1756110315.4355316,15799,0.90625
1756110328.6377604,15849,0.96875
1756110358.5061595,15949,0.921875
1756110375.1907082,15999,0.90625
1756110388.4342654,16049,0.953125
1756110401.631841,16099,0.84375
1756110418.3532512,16149,0.875
1756110448.2503486,16249,0.828125
1756110461.505286,16299,0.875
1756110474.7205627,16349,0.875
1756110491.4607656,16399,0.78125
1756110504.6377232,16449,0.953125
1756110521.3676147,16499,0.890625
1756110534.5872223,16549,0.859375
1756110551.3347733,16599,0.9375
1756110564.6235292,16649,0.875
1756110577.8260806,16699,0.9375
1756110594.4811432,16749,0.921875
1756110639.8448226,16799,0.859375
1756110653.0206587,16849,0.890625
1756110669.8404758,16899,0.921875
1756110683.0345192,16949,0.796875
1756110712.936988,17049,0.84375
1756110726.1820226,17099,0.859375
1756110742.9632924,17149,0.859375
1756110756.1333609,17199,0.890625
1756110772.9678638,17249,0.890625
1756110786.2069533,17299,0.875
1756110802.8859704,17349,0.921875
1756110816.1432924,17399,0.890625
1756110829.3931158,17449,0.9375
1756110846.240046,17499,0.890625
1756110859.5604882,17549,0.875
1756110876.218943,17599,0.796875
1756110889.6581109,17649,0.828125
1756110902.8369813,17699,0.8125
1756110919.5927556,17749,0.84375
1756110932.8946447,17799,0.84375
1756110994.924964,17899,0.875
1756111008.1179914,17949,0.890625
1756111037.904298,18049,0.921875
1756111054.494333,18099,0.90625
1756111067.8131776,18149,0.859375
1756111080.9831846,18199,0.859375
1756111097.663181,18249,0.890625
1756111110.8675525,18299,0.875
1756111127.518426,18349,0.890625
1756111140.8227932,18399,0.859375
1756111154.0430667,18449,0.859375
1756111170.760185,18499,0.859375
1756111213.8379915,18649,0.890625
1756111230.4746501,18699,0.859375
1756111243.8718495,18749,0.828125
1756111257.087624,18799,0.859375
1756111273.7345288,18849,0.953125
1756111287.156515,18899,0.953125
