Wall time,Step,Value
1756452856.6076527,49,0.046875
1756452886.3799572,149,0.21875
1756452900.2114506,199,0.359375
1756452915.314091,249,0.390625
1756452928.954733,299,0.46875
1756452944.4242032,349,0.4375
1756452958.2307951,399,0.515625
1756452987.0980883,499,0.5625
1756453001.0019941,549,0.65625
1756453016.3230402,599,0.65625
1756453046.2733905,699,0.640625
1756453060.3243396,749,0.5625
1756453076.3400896,799,0.5625
1756453090.5473382,849,0.65625
1756453106.12532,899,0.609375
1756453119.7748084,949,0.6875
1756453133.6154137,999,0.65625
1756453149.0308595,1049,0.65625
1756453162.6736898,1099,0.78125
1756453210.8965833,1149,0.609375
1756453224.6824672,1199,0.75
1756453253.8478053,1299,0.796875
1756453267.7265985,1349,0.78125
1756453283.1797588,1399,0.625
1756453296.9158351,1449,0.765625
1756453312.5291,1499,0.71875
1756453326.36158,1549,0.75
1756453340.0911684,1599,0.6875
1756453355.4752982,1649,0.71875
1756453369.33342,1699,0.671875
1756453384.8173246,1749,0.765625
1756453398.2266178,1799,0.734375
1756453414.291485,1849,0.6875
1756453427.873149,1899,0.734375
1756453441.5928822,1949,0.765625
1756453457.163322,1999,0.703125
1756453470.2500637,2049,0.78125
1756453500.011272,2149,0.765625
1756453515.8944032,2199,0.8125
1756453562.3256443,2249,0.796875
1756453592.0204833,2349,0.765625
1756453605.225937,2399,0.71875
1756453621.1769798,2449,0.828125
1756453634.5577354,2499,0.859375
1756453648.039466,2549,0.796875
1756453664.2639759,2599,0.75
1756453677.502034,2649,0.84375
1756453693.8291843,2699,0.78125
1756453707.0072944,2749,0.75
1756453723.0362837,2799,0.78125
1756453750.00042,2899,0.796875
1756453766.30307,2949,0.78125
1756453795.5350332,3049,0.75
1756453809.1695092,3099,0.8125
1756453822.8135433,3149,0.859375
1756453838.5679688,3199,0.859375
1756453867.9110618,3299,0.8125
1756453881.4569862,3349,0.828125
1756453930.0974638,3399,0.8125
1756453943.7293096,3449,0.8125
1756453957.3292751,3499,0.90625
1756453973.1306107,3549,0.859375
1756453986.7652764,3599,0.796875
1756454002.5611598,3649,0.875
1756454016.154528,3699,0.765625
1756454031.9377491,3749,0.96875
1756454045.5985117,3799,0.84375
1756454059.2098298,3849,0.859375
1756454075.0059276,3899,0.859375
1756454088.6404111,3949,0.84375
1756454104.4184086,3999,0.859375
1756454118.0653062,4049,0.8125
1756454131.686668,4099,0.875
1756454147.5437627,4149,0.84375
1756454161.1858299,4199,0.84375
1756454176.865384,4249,0.875
1756454190.2954745,4299,0.875
1756454206.5859745,4349,0.875
1756454220.2465641,4399,0.890625
1756454233.7715738,4449,0.90625
1756454282.5070498,4499,0.796875
1756454296.1039324,4549,0.796875
1756454325.5037963,4649,0.875
1756454339.1233256,4699,0.890625
1756454354.9392953,4749,0.921875
1756454368.4718525,4799,0.8125
1756454384.3740215,4849,0.828125
1756454413.8840065,4949,0.8125
1756454427.4659874,4999,0.921875
1756454441.044572,5049,0.796875
1756454456.900119,5099,0.890625
1756454486.3588336,5199,0.859375
1756454499.9187098,5249,0.859375
1756454515.826933,5299,0.828125
1756454529.3761456,5349,0.8125
1756454542.8155239,5399,0.796875
1756454558.9850552,5449,0.890625
1756454572.2038832,5499,0.78125
1756454588.4833434,5549,0.84375
1756454633.8295722,5599,0.921875
1756454647.0555868,5649,0.828125
1756454676.6402586,5749,0.9375
1756454692.8136184,5799,0.859375
1756454706.2142537,5849,0.875
1756454719.5282924,5899,0.859375
1756454735.9663002,5949,0.84375
1756454749.0724027,5999,0.921875
1756454765.4548233,6049,0.890625
1756454778.8562274,6099,0.859375
1756454794.6927383,6149,0.84375
1756454808.3892987,6199,0.828125
1756454837.965571,6299,0.953125
1756454851.0598435,6349,0.921875
1756454867.4969885,6399,0.8125
1756454880.742801,6449,0.859375
1756454894.1875818,6499,0.84375
1756454910.4876254,6549,0.875
1756454923.7233543,6599,0.9375
1756454940.1800973,6649,0.890625
1756454998.5857055,6749,0.828125
1756455028.010054,6849,0.859375
1756455044.3523998,6899,0.875
1756455057.446927,6949,0.875
1756455073.9037828,6999,0.84375
1756455087.3682187,7049,0.875
1756455100.6887152,7099,0.890625
1756455116.7141166,7149,0.90625
1756455129.868096,7199,0.921875
1756455146.5793858,7249,0.875
1756455161.250988,7299,0.921875
1756455175.6116269,7349,0.875
1756455189.1984994,7399,0.84375
1756455203.584283,7449,0.859375
1756455232.6890996,7549,0.859375
1756455261.7657754,7649,0.859375
1756455277.434515,7699,0.890625
1756455291.216675,7749,0.96875
1756455352.206962,7849,0.90625
1756455365.6872838,7899,0.890625
1756455381.544197,7949,0.890625
1756455395.0115862,7999,0.90625
1756455410.7772965,8049,0.90625
1756455424.4087489,8099,0.8125
1756455438.227781,8149,0.921875
1756455453.9642646,8199,0.90625
1756455467.4319036,8249,0.8125
1756455483.5007753,8299,0.96875
1756455496.842841,8349,0.875
1756455526.394207,8449,0.828125
1756455540.2513702,8499,0.90625
1756455555.9492002,8549,0.921875
1756455569.594251,8599,0.9375
1756455585.4650223,8649,0.859375
1756455598.8385825,8699,0.9375
1756455614.880655,8749,0.828125
1756455628.4078012,8799,0.90625
1756455642.1597464,8849,0.875
1756455657.9664464,8899,0.859375
1756455703.480627,8949,0.890625
1756455719.1857867,8999,0.859375
1756455732.9244308,9049,0.859375
1756455746.763444,9099,0.84375
1756455762.3863611,9149,0.90625
1756455776.1575563,9199,0.828125
1756455791.706274,9249,0.890625
1756455805.390945,9299,0.875
1756455820.9723802,9349,0.84375
1756455864.203527,9499,0.90625
1756455878.0075183,9549,0.9375
1756455893.6652472,9599,0.90625
1756455907.4138172,9649,0.859375
1756455923.0728269,9699,0.75
1756455936.886883,9749,0.84375
1756455950.729353,9799,0.8125
1756455980.1416607,9899,0.859375
1756455995.849443,9949,0.84375
1756456009.4965913,9999,0.890625
1756456025.1393347,10049,0.859375
1756456084.3840072,10149,0.875
1756456100.1038926,10199,0.921875
1756456113.8684726,10249,0.96875
1756456129.4625995,10299,0.859375
1756456143.2761905,10349,0.84375
1756456158.8904421,10399,0.875
1756456172.4125836,10449,0.84375
1756456186.304863,10499,0.9375
1756456202.0393977,10549,0.953125
1756456215.2537785,10599,0.8125
1756456231.4267256,10649,0.859375
1756456245.2349098,10699,0.875
1756456258.9631498,10749,0.890625
1756456274.466252,10799,0.9375
1756456287.7862496,10849,0.90625
1756456317.6378157,10949,0.890625
1756456333.4826968,10999,0.765625
1756456346.8734434,11049,0.90625
1756456360.3798559,11099,0.921875
1756456376.6822808,11149,0.890625
1756456421.5666099,11199,0.875
1756456438.0376956,11249,0.859375
1756456451.2843657,11299,0.875
1756456464.7735007,11349,0.921875
1756456494.2068768,11449,0.9375
