Wall time,Step,Value
1756195466.745463,49,0.078125
1756195497.4937038,149,0.1875
1756195512.5117118,199,0.265625
1756195527.4981248,249,0.46875
1756195542.4695947,299,0.359375
1756195557.431259,349,0.453125
1756195572.4725354,399,0.4375
1756195601.5716155,499,0.4375
1756195616.206236,549,0.46875
1756195630.7639296,599,0.5
1756195659.8935275,699,0.515625
1756195674.5114655,749,0.484375
1756195689.0993404,799,0.546875
1756195703.7302818,849,0.453125
1756195718.3508477,899,0.5
1756195732.9052668,949,0.65625
1756195747.4791155,999,0.53125
1756195762.0470655,1049,0.53125
1756195776.620076,1099,0.609375
1756195824.8869896,1149,0.625
1756195839.864217,1199,0.765625
1756195869.8758893,1299,0.78125
1756195884.5025015,1349,0.5625
1756195899.0974698,1399,0.6875
1756195913.6860569,1449,0.75
1756195928.3673449,1499,0.703125
1756195943.0324404,1549,0.6875
1756195957.712428,1599,0.6875
1756195972.3077345,1649,0.703125
1756195986.902627,1699,0.703125
1756196001.542996,1749,0.734375
1756196016.153498,1799,0.625
1756196030.781641,1849,0.703125
1756196045.4096344,1899,0.65625
1756196060.0331054,1949,0.640625
1756196074.634424,1999,0.75
1756196089.235039,2049,0.6875
1756196118.4706616,2149,0.75
1756196133.172547,2199,0.640625
1756196180.5092402,2249,0.765625
1756196209.716667,2349,0.734375
1756196224.3204377,2399,0.84375
1756196238.945174,2449,0.78125
1756196253.5530436,2499,0.75
1756196268.1518,2549,0.796875
1756196282.780511,2599,0.765625
1756196297.3781285,2649,0.78125
1756196311.9599106,2699,0.6875
1756196326.5920124,2749,0.703125
1756196341.2538009,2799,0.75
1756196370.5194988,2899,0.828125
1756196385.1614296,2949,0.828125
1756196414.4215434,3049,0.703125
1756196429.0400188,3099,0.75
1756196443.70787,3149,0.875
1756196458.3076084,3199,0.8125
1756196487.6122303,3299,0.796875
1756196502.1586146,3349,0.75
1756196549.6229458,3399,0.84375
1756196564.233033,3449,0.75
1756196578.8334482,3499,0.828125
1756196593.4131525,3549,0.828125
1756196608.0020342,3599,0.8125
1756196622.6612694,3649,0.75
1756196637.2540822,3699,0.765625
1756196651.9193118,3749,0.828125
1756196666.543515,3799,0.84375
1756196681.2051864,3849,0.703125
1756196695.8535738,3899,0.78125
1756196710.46436,3949,0.78125
1756196725.081054,3999,0.78125
1756196739.6850657,4049,0.8125
1756196754.3287299,4099,0.78125
1756196768.9776862,4149,0.78125
1756196783.59344,4199,0.828125
1756196798.255049,4249,0.84375
1756196812.9487739,4299,0.8125
1756196827.543557,4349,0.796875
1756196842.2447286,4399,0.75
1756196856.8194373,4449,0.875
1756196904.340163,4499,0.78125
1756196918.9986067,4549,0.875
1756196948.2258046,4649,0.796875
1756196962.8687801,4699,0.8125
1756196977.4826803,4749,0.859375
1756196992.0460885,4799,0.875
1756197006.6609359,4849,0.828125
1756197035.9148345,4949,0.796875
1756197050.561534,4999,0.8125
1756197065.264491,5049,0.84375
1756197079.8430974,5099,0.859375
1756197109.1351676,5199,0.859375
1756197123.79476,5249,0.78125
1756197138.422633,5299,0.75
1756197153.093712,5349,0.78125
1756197167.7715034,5399,0.84375
1756197182.4148362,5449,0.84375
1756197197.1353989,5499,0.828125
1756197211.8037848,5549,0.65625
1756197258.2271411,5599,0.875
1756197272.8637693,5649,0.875
1756197302.0568717,5749,0.859375
1756197316.6939552,5799,0.828125
1756197331.320691,5849,0.859375
1756197345.9184384,5899,0.8125
1756197360.4784493,5949,0.78125
1756197375.139409,5999,0.90625
1756197389.7549994,6049,0.78125
1756197404.4308372,6099,0.859375
1756197419.2228603,6149,0.84375
1756197433.9988344,6199,0.859375
1756197463.7367184,6299,0.875
1756197478.4020588,6349,0.828125
1756197493.058999,6399,0.875
1756197507.6932132,6449,0.84375
1756197522.3748105,6499,0.875
1756197537.109973,6549,0.828125
1756197551.7353578,6599,0.78125
1756197566.4125388,6649,0.875
1756197627.78941,6749,0.796875
1756197657.0820482,6849,0.921875
1756197671.717663,6899,0.890625
1756197686.3494575,6949,0.875
1756197700.9615738,6999,0.859375
1756197715.605326,7049,0.796875
1756197730.3012912,7099,0.859375
1756197745.0364316,7149,0.859375
1756197759.6730185,7199,0.90625
1756197774.3019116,7249,0.828125
1756197788.9662006,7299,0.859375
1756197803.672087,7349,0.84375
1756197818.4244652,7399,0.828125
1756197833.1181648,7449,0.828125
1756197862.4217582,7549,0.90625
1756197891.8529162,7649,0.84375
1756197906.5311759,7699,0.828125
1756197921.236038,7749,0.890625
1756197982.5066264,7849,0.890625
1756197997.1626916,7899,0.90625
1756198011.766221,7949,0.796875
1756198026.4451337,7999,0.828125
1756198041.0513225,8049,0.84375
1756198055.6741574,8099,0.921875
1756198070.2659535,8149,0.859375
1756198084.96382,8199,0.84375
1756198099.6517904,8249,0.84375
1756198114.2798061,8299,0.828125
1756198128.9485106,8349,0.828125
1756198158.2214363,8449,0.71875
1756198172.9002023,8499,0.84375
1756198187.5582314,8549,0.84375
1756198202.256962,8599,0.78125
1756198216.8830128,8649,0.78125
1756198231.5256927,8699,0.8125
1756198246.215339,8749,0.78125
1756198260.8278337,8799,0.90625
1756198275.6040668,8849,0.796875
1756198290.298376,8899,0.8125
1756198336.8156173,8949,0.90625
1756198351.4912243,8999,0.828125
1756198366.1682322,9049,0.9375
1756198380.8416767,9099,0.875
1756198395.5213528,9149,0.8125
1756198410.1738937,9199,0.84375
1756198424.8077092,9249,0.84375
1756198439.4009566,9299,0.890625
1756198454.064591,9349,0.8125
1756198498.0372002,9499,0.90625
1756198512.7609353,9549,0.828125
1756198527.5052712,9599,0.8125
1756198542.2387493,9649,0.8125
1756198556.897906,9699,0.859375
1756198571.6111922,9749,0.875
1756198586.3508413,9799,0.890625
1756198615.8618586,9899,0.828125
1756198630.6146762,9949,0.8125
1756198645.2645984,9999,0.90625
1756198659.9058187,10049,0.875
1756198721.2873204,10149,0.890625
1756198735.9423816,10199,0.890625
1756198750.6183076,10249,0.796875
1756198765.2389245,10299,0.84375
1756198779.8954852,10349,0.84375
1756198794.5461502,10399,0.859375
1756198809.2682514,10449,0.8125
1756198823.9768806,10499,0.90625
1756198838.617482,10549,0.875
1756198853.2637303,10599,0.859375
1756198867.9053028,10649,0.84375
1756198882.581534,10699,0.84375
1756198897.262136,10749,0.96875
1756198911.946434,10799,0.875
1756198926.6372588,10849,0.859375
1756198956.0385232,10949,0.828125
1756198970.7423334,10999,0.8125
1756198985.4377456,11049,0.78125
1756199000.1613317,11099,0.796875
1756199014.8603566,11149,0.796875
1756199061.396899,11199,0.921875
1756199076.1003048,11249,0.8125
1756199090.7387078,11299,0.875
1756199105.4039693,11349,0.828125
1756199134.7978306,11449,0.875
1756199149.4618402,11499,0.75
1756199164.1450355,11549,0.828125
1756199178.787539,11599,0.8125
1756199193.4595149,11649,0.84375
1756199208.1450713,11699,0.8125
1756199222.794898,11749,0.859375
1756199237.5357335,11799,0.921875
1756199252.2150538,11849,0.8125
1756199266.8583806,11899,0.828125
1756199281.5234187,11949,0.78125
1756199296.2086048,11999,0.8125
1756199325.469855,12099,0.875
1756199340.1906037,12149,0.890625
1756199354.90486,12199,0.90625
1756199369.606203,12249,0.875
1756199416.0412257,12299,0.859375
1756199430.7275643,12349,0.90625
1756199445.3790655,12399,0.828125
1756199460.070122,12449,0.875
1756199474.7144444,12499,0.796875
1756199489.342723,12549,0.84375
1756199503.9992669,12599,0.859375
1756199518.7074008,12649,0.875
1756199533.425612,12699,0.890625
1756199548.0968792,12749,0.796875
1756199562.796711,12799,0.78125
1756199592.1968386,12899,0.828125
1756199606.8768213,12949,0.828125
1756199621.5493968,12999,0.828125
1756199636.2455306,13049,0.859375
1756199650.9467766,13099,0.84375
1756199665.6116629,13149,0.875
1756199680.2972188,13199,0.796875
1756199709.6632025,13299,0.765625
1756199738.9375677,13399,0.796875
1756199785.2184803,13449,0.90625
1756199799.9032772,13499,0.890625
1756199814.5439107,13549,0.84375
1756199829.2188792,13599,0.8125
1756199858.5533822,13699,0.78125
1756199873.2725906,13749,0.78125
1756199887.9902124,13799,0.890625
1756199902.7034569,13849,0.75
1756199932.1315217,13949,0.828125
1756199946.8270442,13999,0.796875
1756199961.5060499,14049,0.78125
1756199976.225254,14099,0.75
1756199990.9966788,14149,0.90625
1756200005.7051883,14199,0.734375
1756200020.4030197,14249,0.859375
1756200035.095823,14299,0.8125
1756200049.779581,14349,0.859375
1756200064.4969246,14399,0.65625
1756200079.1982038,14449,0.859375
1756200093.901789,14499,0.8125
1756200140.322753,14549,0.8125
1756200154.993273,14599,0.828125
1756200169.6538599,14649,0.8125
1756200198.9854026,14749,0.859375
1756200213.6820042,14799,0.84375
1756200228.389533,14849,0.828125
1756200243.07621,14899,0.828125
1756200257.786377,14949,0.703125
1756200272.5130231,14999,0.859375
1756200287.2742703,15049,0.875
1756200301.9408867,15099,0.828125
1756200316.5996838,15149,0.75
1756200331.3862102,15199,0.796875
1756200346.1211512,15249,0.6875
1756200360.779611,15299,0.84375
1756200375.4904068,15349,0.84375
1756200390.1735127,15399,0.796875
1756200404.8876302,15449,0.875
1756200419.628313,15499,0.890625
1756200449.0468564,15599,0.859375
1756200495.477282,15649,0.78125
1756200510.1283817,15699,0.859375
1756200524.760652,15749,0.765625
1756200539.4738965,15799,0.859375
1756200554.126539,15849,0.828125
1756200584.1367126,15949,0.734375
1756200599.2895012,15999,0.8125
1756200614.3637471,16049,0.875
1756200629.4209847,16099,0.875
1756200644.6290092,16149,0.765625
1756200674.0365598,16249,0.765625
1756200688.6946008,16299,0.859375
1756200703.383906,16349,0.78125
1756200718.0716858,16399,0.796875
1756200732.807237,16449,0.734375
1756200747.5153503,16499,0.890625
1756200762.212402,16549,0.796875
1756200776.8877368,16599,0.828125
1756200791.6392784,16649,0.796875
1756200806.367239,16699,0.84375
1756200821.0166128,16749,0.765625
1756200868.006301,16799,0.828125
1756200882.7798753,16849,0.90625
1756200897.497038,16899,0.84375
1756200912.2570884,16949,0.890625
1756200941.6051283,17049,0.9375
1756200956.3199537,17099,0.828125
1756200970.9902897,17149,0.8125
1756200985.6955714,17199,0.828125
1756201000.3269706,17249,0.78125
1756201015.0028546,17299,0.859375
1756201029.6768675,17349,0.875
1756201044.333809,17399,0.921875
1756201059.0349903,17449,0.734375
1756201073.7213385,17499,0.71875
1756201088.4274547,17549,0.84375
1756201103.1105864,17599,0.765625
1756201117.7825933,17649,0.734375
1756201132.5542476,17699,0.875
1756201147.2820847,17749,0.84375
1756201162.004499,17799,0.765625
1756201223.5203786,17899,0.8125
1756201238.2123363,17949,0.765625
1756201267.5620816,18049,0.859375
1756201282.2830238,18099,0.84375
1756201296.9722526,18149,0.875
1756201311.6308198,18199,0.8125
1756201326.3233354,18249,0.875
1756201341.0129385,18299,0.765625
