Wall time,Step,Value
1756521719.7957788,49,0.046875
1756521749.3691359,149,0.171875
1756521763.6364987,199,0.171875
1756521778.7672887,249,0.171875
1756521793.135277,299,0.34375
1756521807.4876359,349,0.359375
1756521822.5627124,399,0.484375
1756521851.9733346,499,0.484375
1756521866.102459,549,0.546875
1756521881.270319,599,0.53125
1756521910.517776,699,0.46875
1756521924.826656,749,0.546875
1756521939.1475196,799,0.609375
1756521954.1823142,849,0.640625
1756521968.5414112,899,0.671875
1756521983.5007722,949,0.578125
1756521997.8615966,999,0.609375
1756522012.9237218,1049,0.59375
1756522027.2621114,1099,0.625
1756522076.7987869,1149,0.671875
1756522091.0950825,1199,0.578125
1756522120.4263277,1299,0.65625
1756522134.7758625,1349,0.75
1756522149.7149496,1399,0.640625
1756522164.0330412,1449,0.671875
1756522179.0048888,1499,0.71875
1756522193.336852,1549,0.609375
1756522208.330948,1599,0.546875
1756522222.6667905,1649,0.78125
1756522237.0399659,1699,0.765625
1756522252.0095518,1749,0.6875
1756522266.3096778,1799,0.6875
1756522281.3081172,1849,0.515625
1756522295.6415792,1899,0.6875
1756522310.8937252,1949,0.59375
1756522325.2235267,1999,0.8125
1756522340.1520824,2049,0.734375
1756522369.4371302,2149,0.734375
1756522383.7537975,2199,0.703125
1756522432.090822,2249,0.671875
1756522461.4187765,2349,0.65625
1756522476.4173322,2399,0.78125
1756522490.76457,2449,0.71875
1756522505.7567172,2499,0.734375
1756522520.11143,2549,0.859375
1756522535.127583,2599,0.765625
1756522549.4448457,2649,0.84375
1756522563.8139362,2699,0.734375
1756522578.8170493,2749,0.734375
1756522593.1489964,2799,0.765625
1756522622.4497814,2899,0.65625
1756522637.446782,2949,0.71875
1756522666.8090596,3049,0.75
1756522681.1255724,3099,0.734375
1756522695.4518032,3149,0.75
1756522710.481676,3199,0.78125
1756522739.9440908,3299,0.765625
1756522754.0916944,3349,0.703125
1756522803.212821,3399,0.859375
1756522817.4826603,3449,0.828125
1756522832.5888817,3499,0.78125
1756522847.0342476,3549,0.859375
1756522861.248858,3599,0.828125
1756522876.456742,3649,0.859375
1756522890.6090374,3699,0.71875
1756522905.8647604,3749,0.78125
1756522919.9571238,3799,0.796875
1756522935.183353,3849,0.765625
1756522949.3551502,3899,0.796875
1756522964.4851549,3949,0.765625
1756522978.8608882,3999,0.828125
1756522993.1239722,4049,0.75
1756523008.3209333,4099,0.78125
1756523022.558895,4149,0.78125
1756523037.8052087,4199,0.75
1756523052.0085394,4249,0.75
1756523067.2992775,4299,0.828125
1756523081.4709327,4349,0.828125
1756523096.696076,4399,0.875
1756523110.9368484,4449,0.796875
1756523159.7255044,4499,0.875
1756523174.9013808,4549,0.84375
1756523204.2475586,4649,0.8125
1756523218.597624,4699,0.84375
1756523233.7295065,4749,0.8125
1756523248.072123,4799,0.84375
1756523263.19454,4849,0.828125
1756523291.8610065,4949,0.75
1756523306.9525988,4999,0.734375
1756523321.2863908,5049,0.859375
1756523336.3920557,5099,0.828125
1756523365.8354697,5199,0.796875
1756523380.1803868,5249,0.828125
1756523395.276168,5299,0.875
1756523409.6440578,5349,0.828125
1756523424.7528167,5399,0.890625
1756523439.1025639,5449,0.875
1756523453.4378352,5499,0.859375
1756523468.5509512,5549,0.890625
1756523515.6254847,5599,0.8125
1756523530.7466612,5649,0.890625
1756523560.1202378,5749,0.875
1756523574.3652544,5799,0.859375
1756523588.7047298,5849,0.8125
1756523603.7802656,5899,0.828125
1756523618.0926785,5949,0.875
1756523633.2958672,5999,0.796875
1756523647.6310961,6049,0.890625
1756523662.7375166,6099,0.84375
1756523677.0690088,6149,0.875
1756523692.178321,6199,0.796875
1756523720.874398,6299,0.875
1756523736.1052523,6349,0.875
1756523750.4839106,6399,0.890625
1756523765.6071162,6449,0.890625
1756523779.966204,6499,0.875
1756523795.070879,6549,0.734375
1756523809.3978705,6599,0.890625
1756523824.518507,6649,0.921875
1756523888.3025937,6749,0.859375
1756523916.9461734,6849,0.875
1756523932.1059916,6899,0.84375
1756523946.3710341,6949,0.921875
1756523961.6329036,6999,0.84375
1756523975.8971436,7049,0.828125
1756523991.0569646,7099,0.890625
1756524005.3251028,7149,0.828125
1756524020.4253242,7199,0.75
1756524034.843931,7249,0.890625
1756524049.0453773,7299,0.828125
1756524064.3186882,7349,0.8125
1756524078.421186,7399,0.875
1756524093.7494588,7449,0.796875
1756524123.205868,7549,0.8125
1756524152.558243,7649,0.921875
1756524166.855577,7699,0.859375
1756524181.0225205,7749,0.859375
1756524243.6640792,7849,0.796875
1756524258.9412308,7899,0.8125
1756524273.2563179,7949,0.921875
1756524288.614346,7999,0.828125
1756524302.888469,8049,0.90625
1756524318.05338,8099,0.90625
1756524332.4607475,8149,0.859375
1756524346.6567588,8199,0.8125
1756524361.8537352,8249,0.90625
1756524376.0841098,8299,0.875
1756524391.3622684,8349,0.890625
1756524420.8571842,8449,0.875
1756524435.0561595,8499,0.875
1756524450.2171113,8549,0.796875
1756524464.4934883,8599,0.796875
1756524478.7370925,8649,0.859375
1756524493.9235468,8699,0.828125
1756524508.22447,8749,0.875
1756524523.452855,8799,0.875
1756524537.8408103,8849,0.890625
1756524552.9797878,8899,0.875
1756524600.0863707,8949,0.9375
1756524615.2176876,8999,0.78125
1756524629.538579,9049,0.9375
1756524643.8710113,9099,0.859375
1756524659.0538948,9149,0.84375
1756524673.359692,9199,0.9375
1756524688.506634,9249,0.9375
1756524702.8139434,9299,0.8125
1756524717.977825,9349,0.84375
1756524761.8266902,9499,0.84375
1756524776.162627,9549,0.9375
1756524791.325349,9599,0.84375
1756524805.6677673,9649,0.90625
1756524820.8411944,9699,0.859375
1756524835.179215,9749,0.8125
1756524850.366224,9799,0.921875
1756524878.9895444,9899,0.8125
1756524894.1448207,9949,0.875
1756524908.521966,9999,0.890625
1756524923.6534111,10049,0.84375
1756524985.8945956,10149,0.84375
1756525000.2222233,10199,0.828125
1756525015.340329,10249,0.859375
1756525029.6738222,10299,0.921875
1756525043.973068,10349,0.90625
1756525059.0924304,10399,0.859375
1756525073.4120643,10449,0.921875
1756525088.53141,10499,0.9375
1756525102.7996645,10549,0.921875
1756525117.9232278,10599,0.84375
1756525132.2083557,10649,0.8125
1756525147.483218,10699,0.890625
1756525161.8899326,10749,0.859375
1756525176.1937926,10799,0.921875
1756525191.391139,10849,0.8125
1756525220.9392443,10949,0.84375
1756525235.1749003,10999,0.796875
1756525250.4001265,11049,0.921875
1756525264.6587899,11099,0.875
1756525279.8679817,11149,0.859375
1756525327.2085388,11199,0.921875
1756525341.4471474,11249,0.875
1756525356.7425218,11299,0.90625
1756525370.8757565,11349,0.8125
1756525400.3222127,11449,0.953125
1756525415.6872482,11499,0.921875
1756525429.8532257,11549,0.84375
1756525445.1236246,11599,0.859375
1756525459.3617878,11649,0.90625
1756525473.6303575,11699,0.84375
1756525488.8767126,11749,0.859375
1756525503.0699127,11799,0.8125
1756525518.3724465,11849,0.890625
1756525532.5916655,11899,0.765625
1756525547.8324444,11949,0.8125
1756525562.1620724,11999,0.875
1756525591.6206114,12099,0.8125
1756525605.826427,12149,0.8125
1756525621.0540845,12199,0.921875
1756525635.3704484,12249,0.875
1756525683.3436108,12299,0.90625
1756525697.6966734,12349,0.796875
1756525712.8813975,12399,0.90625
1756525727.167041,12449,0.796875
1756525742.3245127,12499,0.921875
1756525756.6574476,12549,0.875
1756525770.9520788,12599,0.921875
1756525786.0900264,12649,0.890625
1756525800.3678186,12699,0.9375
1756525815.5136032,12749,0.828125
1756525829.8046165,12799,0.890625
1756525859.2753377,12899,0.78125
1756525874.4326134,12949,0.875
1756525888.7419956,12999,0.953125
1756525903.0189178,13049,0.796875
1756525918.2488277,13099,0.78125
1756525932.5007346,13149,0.859375
1756525947.69849,13199,0.828125
1756525977.3496056,13299,0.8125
1756526006.7399824,13399,0.9375
1756526054.3642898,13449,0.84375
1756526068.656798,13499,0.8125
1756526083.8082416,13549,0.875
1756526098.0990636,13599,0.875
1756526127.5581656,13699,0.84375
1756526142.7167,13749,0.84375
1756526157.0383277,13799,0.859375
1756526172.234014,13849,0.78125
1756526200.873208,13949,0.84375
1756526216.031933,13999,0.8125
1756526230.3706603,14049,0.78125
1756526245.5695283,14099,0.765625
1756526259.8622496,14149,0.796875
1756526275.0377054,14199,0.890625
1756526289.3106406,14249,0.828125
1756526304.4847846,14299,0.84375
1756526318.8084357,14349,0.828125
1756526333.1021714,14399,0.84375
1756526348.2800362,14449,0.875
1756526362.524455,14499,0.90625
1756526410.8719711,14549,0.84375
1756526425.077336,14599,0.84375
1756526440.2647214,14649,0.84375
1756526469.7258685,14749,0.859375
1756526484.0429058,14799,0.890625
1756526498.2990906,14849,0.90625
1756526513.6042562,14899,0.84375
1756526527.8807783,14949,0.890625
1756526543.176813,14999,0.90625
1756526557.435975,15049,0.828125
1756526572.8518505,15099,0.8125
1756526587.017806,15149,0.875
1756526602.1876278,15199,0.875
1756526616.4599516,15249,0.859375
1756526630.6693182,15299,0.921875
1756526645.992254,15349,0.890625
1756526660.08638,15399,0.9375
1756526675.5739312,15449,0.875
1756526689.649561,15499,0.8125
1756526719.1193511,15599,0.859375
1756526766.5907001,15649,0.953125
1756526781.7901237,15699,0.890625
1756526796.1056678,15749,0.90625
1756526811.452062,15799,0.890625
1756526825.6086257,15849,0.890625
1756526855.1941082,15949,0.765625
1756526870.5215786,15999,0.859375
1756526884.6577473,16049,0.8125
1756526898.9470067,16099,0.984375
1756526914.1458864,16149,0.828125
1756526943.7573524,16249,0.890625
1756526957.8549912,16299,0.84375
1756526973.2435148,16349,0.75
1756526987.3705583,16399,0.859375
1756527002.7275722,16449,0.78125
1756527016.8792334,16499,0.921875
1756527031.2869766,16549,0.828125
1756527046.3520267,16599,0.890625
1756527060.7375715,16649,0.78125
1756527076.0523024,16699,0.796875
1756527090.3199344,16749,0.90625
1756527138.8705597,16799,0.875
1756527153.260735,16849,0.84375
1756527168.440469,16899,0.859375
1756527182.8044698,16949,0.859375
1756527212.282882,17049,0.875
1756527226.623233,17099,0.828125
1756527241.7863755,17149,0.859375
1756527256.1526177,17199,0.875
1756527271.2481987,17249,0.859375
1756527285.578133,17299,0.890625
1756527300.7152998,17349,0.828125
1756527315.0039265,17399,0.84375
1756527329.3416102,17449,0.734375
1756527344.5718472,17499,0.828125
1756527358.9357085,17549,0.9375
1756527374.071974,17599,0.828125
1756527388.363899,17649,0.765625
1756527403.4938965,17699,0.90625
1756527417.8082776,17749,0.8125
1756527432.929078,17799,0.859375
